Date, ACXIX ,% Return,DD, S&P 500TR ,% Market Return,DD,,CS MF Liquid Index (CSLABMF Index),,,,CURRENT,,31-Dec,,,,,,,,,
10/31/2007,"10,000.00",,," 10,000 ",,,,781.13,," 10,000 ",,Risk Free Rate:,,0.0723%,,,,,,,,,
11/30/2007,"9,845.00",-1.55%,-1.55%," 9,582 ",-4.18%,-4.18%,,765.54,-2.00%," 9,800 ",,Months:,,158.00,,,,,,,,,
12/31/2007,"10,257.50",4.19%,0.00%," 9,515 ",-0.69%,-4.85%,,765.97,0.06%," 9,806 ",,,,,,,,, ACXIX , SP500TR ,CS MF Liquid Index (CSLABMF Index),C.S. Managed Futures Liquid Index,
1/31/2008,"10,333.40",0.74%,0.00%," 8,945 ",-6.00%,-10.55%,,810.53,5.82%," 10,376 ",,,, ACXIX , S&P 500TR ,,YTD,12/31/2019," 15,035 "," 27,040 "," 13,404 ",,
2/29/2008,"11,786.30",14.06%,0.00%," 8,654 ",-3.25%,-13.46%,,866.12,6.86%," 11,088 ",,Standard Deviation:,,8.93%,15.93%,,1Yr,12/31/2019," 15,035 "," 27,040 "," 13,404 ",,
3/31/2008,"11,180.50",-5.14%,-5.14%," 8,617 ",-0.43%,-13.83%,,856.28,-1.14%," 10,962 ",,Beta:,,0.09,,,5yrs,12/31/2015," 14,900 "," 15,768 "," 14,426 ",,
4/30/2008,"11,094.40",-0.77%,-5.87%," 9,036 ",4.87%,-9.64%,,813.65,-4.98%," 10,416 ",,Cumulative Return,,57.64%,220.15%,,10yrs,12/31/2010," 14,062 "," 8,724 "," 12,781 ",,
5/31/2008,"11,310.70",1.95%,-4.04%," 9,153 ",1.30%,-8.47%,,815.27,0.20%," 10,437 ",,Ann. Inception,,3.52%,9.24%,,A&C Inception,8/13/2015, -   , -   , -   ," 1,146.36 ",
6/30/2008,"12,034.60",6.40%,0.00%," 8,382 ",-8.43%,-16.18%,,836.72,2.63%," 10,712 ",,Alpha:,,2.65,,,Inception,10/31/2007," 10,000 "," 10,000 "," 10,000 ",,
7/31/2008,"11,339.00",-5.78%,-5.78%," 8,311 ",-0.84%,-16.89%,,801.80,-4.17%," 10,265 ",,R-squared:,,0.02,,,Current,12/31/2020," 15,764 "," 32,015 "," 13,646 "," 1,065.93 ",
8/31/2008,"10,859.40",-4.23%,-9.77%," 8,432 ",1.45%,-15.68%,,807.17,0.67%," 10,333 ",,Sharpe Ratio:,,0.39,0.58,,,,,,,,
9/30/2008,"10,521.60",-3.11%,-12.57%," 7,680 ",-8.91%,-23.20%,,833.45,3.26%," 10,670 ",,# positive months,,90,106,,, ACXIX , SP500TR ,C.S. Managed Futures Liquid Index,BAML 3M TR,,
10/31/2008,"10,563.70",0.40%,-12.22%," 6,390 ",-16.80%,-36.10%,,899.77,7.96%," 11,519 ",,% positive months,,57.0%,67.1%,,YTD,4.85%,18.40%,1.81%,0.67%,,
