Date,ACXIX,S&P 500 TR Index
10/2008,0.40,-16.80
03/2020,-5.39,-12.35
02/2009,0.81,-10.65
12/2018,0.21,-9.03
09/2008,-3.11,-8.91
06/2008,6.40,-8.43
01/2009,0.42,-8.43
02/2020,-3.69,-8.23
05/2010,-3.97,-7.99
11/2008,7.28,-7.18
09/2011,-3.92,-7.03
10/2018,-1.43,-6.84
05/2019,-0.80,-6.35
08/2015,-3.18,-6.03
05/2012,-1.30,-6.01
01/2008,0.74,-6.00
08/2011,0.94,-5.43
06/2010,0.94,-5.23
01/2016,5.84,-4.96
08/2010,1.50,-4.51
11/2007,-1.55,-4.18
09/2020,-0.64,-3.80
02/2018,-3.18,-3.69
01/2010,-3.52,-3.60
01/2014,-0.29,-3.46
02/2008,14.06,-3.25
01/2015,5.36,-3.00
,,
,,
,,
,,
