Date,% Return,% Market Return,,,Date,% Return,% Market Return
10/31/2008,0.40%,-16.80%,,,10/31/2008,0.40%,-16.80%
3/31/2020,-5.39%,-12.35%,,,3/31/2020,-5.39%,-12.35%
2/28/2009,0.81%,-10.65%,,,2/28/2009,0.81%,-10.65%
12/31/2018,0.21%,-9.03%,,,12/31/2018,0.21%,-9.03%
9/30/2008,-3.11%,-8.91%,,,9/30/2008,-3.11%,-8.91%
6/30/2008,6.40%,-8.43%,,,6/30/2008,6.40%,-8.43%
1/31/2009,0.42%,-8.43%,,,1/31/2009,0.42%,-8.43%
2/29/2020,-3.69%,-8.23%,,,2/29/2020,-3.69%,-8.23%
5/31/2010,-3.97%,-7.99%,,,5/31/2010,-3.97%,-7.99%
11/30/2008,7.28%,-7.18%,,,11/30/2008,7.28%,-7.18%
9/30/2011,-3.92%,-7.03%,,,9/30/2011,-3.92%,-7.03%
10/31/2018,-1.43%,-6.84%,,,10/31/2018,-1.43%,-6.84%
5/31/2019,-0.80%,-6.35%,,,5/31/2019,-0.80%,-6.35%
8/31/2015,-3.18%,-6.03%,,,8/31/2015,-3.18%,-6.03%
5/31/2012,-1.30%,-6.01%,,,5/31/2012,-1.30%,-6.01%
1/31/2008,0.74%,-6.00%,,,1/31/2008,0.74%,-6.00%
8/31/2011,0.94%,-5.43%,,,8/31/2011,0.94%,-5.43%
6/30/2010,0.94%,-5.23%,,,6/30/2010,0.94%,-5.23%
1/31/2016,5.84%,-4.96%,,,1/31/2016,5.84%,-4.96%
8/31/2010,1.50%,-4.51%,,,8/31/2010,1.50%,-4.51%
11/30/2007,-1.55%,-4.18%,,,11/30/2007,-1.55%,-4.18%
9/30/2020,-0.64%,-3.80%,,,9/30/2020,-0.64%,-3.80%
2/28/2018,-3.18%,-3.69%,,,2/28/2018,-3.18%,-3.69%
1/31/2010,-3.52%,-3.60%,,,1/31/2010,-3.52%,-3.60%
1/31/2014,-0.29%,-3.46%,,,1/31/2014,-0.29%,-3.46%
2/29/2008,14.06%,-3.25%,,,2/29/2008,14.06%,-3.25%
1/31/2015,5.36%,-3.00%,,,1/31/2015,5.36%,-3.00%
8/31/2013,0.12%,-2.90%,,,,,
10/31/2020,-0.79%,-2.66%,,,,,
3/31/2018,-1.97%,-2.54%,,,,,
9/30/2015,1.33%,-2.47%,,,,,
7/31/2011,3.44%,-2.03%,,,,,
6/30/2015,-1.97%,-1.94%,,,,,
10/31/2009,-0.26%,-1.86%,,,,,
10/31/2012,-1.91%,-1.85%,,,,,
10/31/2016,-2.87%,-1.82%,,,,,
6/30/2011,-1.04%,-1.67%,,,,,
8/31/2019,-0.34%,-1.58%,,,,,
3/31/2015,1.01%,-1.58%,,,,,
12/31/2015,-1.26%,-1.58%,,,,,
9/30/2014,-1.75%,-1.40%,,,,,
7/31/2014,-0.38%,-1.38%,,,,,
6/30/2013,-2.95%,-1.34%,,,,,
5/31/2011,-3.62%,-1.13%,,,,,
7/31/2008,-5.78%,-0.84%,,,,,
12/31/2007,4.19%,-0.69%,,,,,
4/30/2012,0.08%,-0.63%,,,,,
3/31/2008,-5.14%,-0.43%,,,,,
12/31/2014,2.62%,-0.25%,,,,,
11/30/2011,-0.62%,-0.22%,,,,,
2/29/2016,1.27%,-0.13%,,,,,
1/31/2020,2.10%,-0.04%,,,,,
11/30/2010,-1.10%,0.01%,,,,,
9/30/2016,-0.71%,0.02%,,,,,
3/31/2011,-0.20%,0.04%,,,,,
3/31/2017,0.68%,0.12%,,,,,
8/31/2016,-1.72%,0.14%,,,,,
6/30/2009,1.71%,0.20%,,,,,
6/30/2016,4.93%,0.26%,,,,,
11/30/2015,1.14%,0.30%,,,,,
8/31/2017,-0.27%,0.31%,,,,,
4/30/2018,-1.68%,0.38%,,,,,
4/30/2016,-2.41%,0.39%,,,,,
9/30/2018,-0.07%,0.57%,,,,,
11/30/2012,-0.30%,0.58%,,,,,
6/30/2018,-0.20%,0.62%,,,,,
6/30/2017,-2.83%,0.62%,,,,,
4/30/2014,1.40%,0.74%,,,,,
3/31/2014,-0.46%,0.84%,,,,,
12/31/2012,-0.85%,0.91%,,,,,
4/30/2015,-1.56%,0.96%,,,,,
12/31/2011,0.06%,1.02%,,,,,
4/30/2017,1.74%,1.03%,,,,,
12/31/2008,2.05%,1.06%,,,,,
12/31/2017,1.51%,1.11%,,,,,
5/31/2015,1.54%,1.29%,,,,,
5/31/2008,1.95%,1.30%,,,,,
2/28/2013,-1.01%,1.36%,,,,,
7/31/2012,1.42%,1.39%,,,,,
5/31/2017,0.40%,1.41%,,,,,
7/31/2019,-0.47%,1.44%,,,,,
8/31/2008,-4.23%,1.45%,,,,,
4/30/2010,1.82%,1.58%,,,,,
5/31/2016,-1.00%,1.80%,,,,,
9/30/2019,-1.22%,1.87%,,,,,
1/31/2017,-0.75%,1.90%,,,,,
4/30/2013,0.82%,1.93%,,,,,
12/31/2009,-0.73%,1.93%,,,,,
3/31/2019,0.07%,1.94%,,,,,
12/31/2016,-0.05%,1.98%,,,,,
6/30/2020,1.41%,1.99%,,,,,
11/30/2018,0.35%,2.04%,,,,,
7/31/2017,-0.95%,2.06%,,,,,
9/30/2017,-2.67%,2.06%,,,,,
6/30/2014,1.68%,2.07%,,,,,
