Date,CAXAX,MSCI ACWI
7/29/2011,10000.00,10000.00
8/31/2011,9959.00,9273.49
9/30/2011,9160.80,8401.44
10/31/2011,9832.90,9303.10
11/30/2011,9658.50,9029.91
12/31/2011,9597.16,9014.84
1/31/2012,9921.07,9541.55
2/29/2012,10177.13,10026.42
3/31/2012,10431.39,10097.86
4/30/2012,10346.54,9988.83
5/31/2012,9646.10,9102.24
6/30/2012,10026.34,9556.26
7/31/2012,10296.51,9690.29
8/31/2012,10606.70,9905.86
9/30/2012,10866.87,10221.96
10/31/2012,10896.89,10156.54
11/30/2012,10996.95,10291.28
12/31/2012,11332.50,10529.37
1/31/2013,11704.40,11017.43
2/28/2013,11580.43,11020.80
3/31/2013,11735.39,11227.51
4/30/2013,11704.40,11555.84
5/31/2013,11652.74,11543.43
6/30/2013,11404.81,11201.45
7/31/2013,12086.62,11741.27
8/31/2013,12024.64,11501.59
9/30/2013,12675.46,12100.09
10/31/2013,13026.69,12589.04
11/30/2013,12995.70,12772.71
12/31/2013,13236.12,12997.50
1/31/2014,12907.34,12480.54
2/28/2014,13575.51,13089.69
3/31/2014,13766.42,13154.75
4/30/2014,13883.08,13287.00
5/31/2014,14158.83,13581.12
6/30/2014,14381.56,13842.61
7/31/2014,14020.96,13678.98
8/31/2014,14392.16,13986.74
9/30/2014,14052.78,13538.57
10/31/2014,13904.29,13636.96
11/30/2014,14084.59,13870.97
12/31/2014,13743.58,13609.13
1/31/2015,13620.87,13399.40
2/28/2015,14200.95,14151.44
3/31/2015,13609.71,13940.65
4/30/2015,13888.60,14351.94
5/31/2015,14089.40,14344.32
6/30/2015,13866.29,14012.98
7/31/2015,14044.77,14139.73
8/31/2015,13219.27,13176.20
9/30/2015,12951.54,12704.81
10/31/2015,13810.51,13705.21
11/30/2015,13788.20,13598.13
12/31/2015,13501.70,13358.63
1/31/2016,13151.74,12556.07
2/29/2016,13050.14,12476.82
3/31/2016,13862.95,13410.04
4/30/2016,14088.73,13615.86
5/31/2016,14032.28,13644.58
6/30/2016,14043.57,13569.06
7/31/2016,14393.53,14157.99
8/31/2016,14641.89,14212.42
9/30/2016,14540.29,14305.85
10/31/2016,14224.20,14066.34
11/30/2016,14382.24,14180.15
12/31/2016,14896.21,14492.17
1/31/2017,15297.57,14891.41
2/28/2017,15607.19,15315.83
3/31/2017,15848.01,15513.50
4/30/2017,16042.96,15762.41
5/31/2017,16857.15,16124.42
6/30/2017,16673.67,16204.37
7/31/2017,16731.00,16663.18
8/31/2017,16776.87,16735.16
9/30/2017,17017.69,17064.73
10/31/2017,16983.29,17423.01
11/30/2017,17040.62,17768.18
12/31/2017,17441.58,18060.70
1/31/2018,18244.04,19083.45
2/28/2018,17807.41,18289.22
3/31/2018,17713.00,17908.77
4/30/2018,17831.01,18089.95
5/31/2018,17689.40,18128.07
6/30/2018,18090.63,18037.12
7/31/2018,18173.23,18586.88
8/31/2018,18480.06,18741.29
9/30/2018,18515.46,18830.46
10/31/2018,17583.19,17423.55
11/30/2018,17960.82,17686.63
12/31/2018,16907.79,16447.96
1/31/2019,17954.83,17751.87
2/28/2019,18433.11,18234.62
3/31/2019,18446.03,18475.37
4/30/2019,18743.34,19108.98
5/31/2019,18019.46,17991.38
6/30/2019,19066.50,19177.76
7/31/2019,19273.33,19240.70
8/31/2019,18976.02,18792.88
9/30/2019,19156.99,19197.09
10/31/2019,18937.00,19727.34
11/30/2019,19144.00,20217.35
12/31/2019,19829.00,20937.83
1/31/2020,19428.00,20711.79
2/29/2020,17635.00,19046.93
3/31/2020,15374.00,16486.96
4/30/2020,16591.00,18261.56
5/31/2020,17488.00,19066.78
6/30/2020,17769.00,19684.26
7/31/2020,18411.00,20733.24
8/31/2020,19093.00,22010.03
9/30/2020,18371.00,21308.53
10/31/2020,18010.00,20795.54
11/30/2020,19883.00,23366.48
12/31/2020,20911.00,24459.46
