Date,CFRIX,S&P LSTA Lvg. Loan 100
12/31/2012,10000.00,10000.00
1/31/2013,10238.00,10121.06
2/28/2013,10245.00,10130.21
3/31/2013,10380.00,10215.37
4/30/2013,10455.00,10272.87
5/31/2013,10432.00,10285.05
6/30/2013,10371.00,10195.77
7/31/2013,10523.00,10320.31
8/31/2013,10536.00,10298.54
9/30/2013,10613.00,10312.71
10/31/2013,10761.00,10401.13
11/30/2013,10826.00,10457.95
12/31/2013,10904.00,10502.47
1/31/2014,10982.00,10567.23
2/28/2014,11064.00,10572.66
3/31/2014,11097.00,10608.27
4/30/2014,11111.00,10622.34
5/31/2014,11195.00,10703.16
6/30/2014,11279.00,10762.43
7/31/2014,11247.00,10735.05
8/31/2014,11289.00,10760.37
9/30/2014,11166.00,10656.57
10/31/2014,11171.00,10721.56
11/30/2014,11167.00,10760.31
12/31/2014,10972.00,10606.62
1/31/2015,10969.00,10628.11
2/28/2015,11180.00,10782.09
3/31/2015,11207.00,10802.50
4/30/2015,11316.00,10881.15
5/31/2015,11369.00,10886.92
6/30/2015,11309.00,10792.95
7/31/2015,11317.00,10754.43
8/31/2015,11243.00,10654.86
9/30/2015,11044.00,10551.92
10/31/2015,11021.00,10552.95
11/30/2015,10786.00,10442.57
12/31/2015,10418.00,10314.43
1/31/2016,10178.00,10270.19
2/29/2016,9959.00,10248.29
3/31/2016,10236.00,10571.29
4/30/2016,10543.00,10818.73
5/31/2016,10824.00,10884.29
6/30/2016,10720.00,10867.49
7/31/2016,10943.00,11045.82
8/31/2016,11121.00,11123.55
9/30/2016,11172.00,11190.03
10/31/2016,11174.00,11270.73
11/30/2016,11241.00,11291.14
12/31/2016,11448.00,11436.95
1/31/2017,11555.00,11483.42
2/28/2017,11645.00,11533.09
3/31/2017,11658.00,11526.52
4/30/2017,11680.00,11573.61
5/31/2017,11726.00,11624.83
6/30/2017,11664.00,11599.39
7/31/2017,11827.00,11688.73
8/31/2017,11813.00,11664.21
9/30/2017,11890.00,11703.59
10/31/2017,11925.00,11769.27
11/30/2017,12247.00,11777.90
12/31/2017,12276.00,11815.33
1/31/2018,12496.00,11942.34
2/28/2018,12475.00,11949.37
3/31/2018,12540.00,11981.32
4/30/2018,12545.00,12029.85
5/31/2018,12582.00,12030.65
6/30/2018,12573.00,12032.13
7/31/2018,12658.00,12138.62
8/31/2018,12688.00,12199.44
9/30/2018,12751.00,12284.37
10/31/2018,12750.00,12259.97
11/30/2018,12661.00,12125.36
12/31/2018,12363.00,11742.40
1/31/2019,12712.00,12159.94
2/28/2019,12926.00,12403.89
3/31/2019,12904.00,12344.62
4/30/2019,13140.00,12602.34
5/31/2019,13074.00,12517.98
6/30/2019,13138.00,12540.27
7/31/2019,13260.00,12670.87
8/31/2019,13223.00,12620.97
9/30/2019,13310.00,12706.83
10/31/2019,13263.00,12681.68
11/30/2019,13365.00,12776.90
12/31/2019,13602.00,12993.02
1/31/2020,13684.00,13021.59
2/29/2020,13500.00,12768.84
3/31/2020,12104.00,11709.31
4/30/2020,12540.00,12092.15
5/31/2020,13000.00,12506.54
6/30/2020,13165.00,12481.97
7/31/2020,13370.00,12756.10
8/31/2020,13541.00,12922.77
9/30/2020,13584.00,12923.80
10/31/2020,13590.00,12875.90
11/30/2020,13853.00,13220.62
12/31/2020,14045.00,13361.57
1/31/2021,14162.00,13495.60
2/28/2021,14227.00,13539.96
3/31/2021,14214.00,13498.46
