Date,CIFC Composite,LSTA Leveraged Loan 100 TR Index 
11/30/2012,10000.00,10000.00
12/31/2012,10094.00,10107.63
1/31/2013,10258.87,10229.99
2/28/2013,10334.89,10239.24
3/31/2013,10489.81,10325.32
4/30/2013,10657.70,10383.44
5/31/2013,10779.38,10395.75
6/30/2013,10750.57,10305.50
7/31/2013,10872.04,10431.39
8/31/2013,10903.81,10409.38
9/30/2013,10951.58,10423.71
10/31/2013,11058.29,10513.08
11/30/2013,11124.64,10570.51
12/31/2013,11198.53,10615.51
1/31/2014,11292.74,10680.97
2/28/2014,11349.43,10686.46
3/31/2014,11395.19,10722.45
4/30/2014,11425.39,10736.66
5/31/2014,11513.29,10818.36
6/30/2014,11591.34,10878.27
7/31/2014,11592.84,10850.59
8/31/2014,11610.34,10876.19
9/30/2014,11579.66,10771.27
10/31/2014,11629.49,10836.96
11/30/2014,11706.88,10876.13
12/31/2014,11672.18,10720.78
1/31/2015,11720.57,10742.50
2/28/2015,11875.32,10898.14
3/31/2015,11932.69,10918.77
4/30/2015,12044.07,10998.26
5/31/2015,12093.80,11004.10
6/30/2015,12132.50,10909.12
7/31/2015,12189.33,10870.18
8/31/2015,12156.38,10769.54
9/30/2015,12138.01,10665.49
10/31/2015,12143.51,10666.53
11/30/2015,12112.65,10554.97
12/31/2015,12084.41,10425.44
1/31/2016,12075.73,10380.72
2/29/2016,12058.30,10358.60
3/31/2016,12337.92,10685.07
4/30/2016,12490.48,10935.17
5/31/2016,12582.60,11001.44
6/30/2016,12568.78,10984.45
7/31/2016,12709.94,11164.71
8/31/2016,12788.65,11243.28
9/30/2016,12906.23,11310.47
10/31/2016,12998.06,11392.04
11/30/2016,13062.71,11412.67
12/31/2016,13218.92,11560.05
1/31/2017,13270.33,11607.02
2/28/2017,13334.64,11657.22
3/31/2017,13370.25,11650.58
4/30/2017,13437.34,11698.18
5/31/2017,13472.15,11749.95
6/30/2017,13465.34,11724.24
7/31/2017,13574.21,11814.54
8/31/2017,13563.86,11789.75
9/30/2017,13569.36,11829.56
10/31/2017,13640.77,11895.94
11/30/2017,13664.58,11904.66
12/31/2017,13730.17,11942.50
1/31/2018,13847.51,12070.88
2/28/2018,13864.86,12077.98
3/31/2018,13910.83,12110.28
4/30/2018,13974.01,12159.33
5/31/2018,13984.51,12160.14
6/30/2018,13993.08,12161.64
7/31/2018,14090.10,12269.27
8/31/2018,14150.90,12330.74
9/30/2018,14246.45,12416.59
10/31/2018,14251.32,12391.92
11/30/2018,14151.88,12255.87
12/31/2018,13850.82,11868.79
1/31/2019,14140.31,12290.82
2/28/2019,14370.79,12537.39
3/31/2019,14333.43,12477.48
4/30/2019,14571.37,12737.98
5/31/2019,14511.62,12652.71
6/30/2019,14549.35,12675.24
7/31/2019,14658.47,12807.25
8/31/2019,14607.17,12756.82
9/30/2019,14687.51,12843.59
10/31/2019,14622.88,12818.17
11/30/2019,14717.93,12914.42
12/31/2019,14926.93,13132.86
1/31/2020,14977.68,13161.75
2/29/2020,14756.01,12906.27
3/31/2020,13211.05,11835.34
4/30/2020,13689.29,12222.30
5/31/2020,14197.17,12641.15
6/30/2020,14322.10,12616.31
7/31/2020,14512.78,12893.39
8/31/2020,14692.17,13061.86
9/30/2020,14758.76,13062.90
10/31/2020,14755.81,13014.48
11/30/2020,15043.55,13362.91
12/31/2020,15243.63,13505.38
1/31/2021,15380.82,13640.86
2/28/2021,15451.57,13685.63
3/31/2021,15450.03,13643.75
