Date,CP All Cap Equity Composite (Net),S&P 500 TR Index
12/31/2001,10000.00,10000.00
1/31/2002,10050.58,9854.07
2/28/2002,10060.22,9664.03
3/31/2002,10237.86,10027.49
4/30/2002,10553.79,9419.54
5/31/2002,10532.24,9350.14
6/30/2002,9951.47,8684.14
7/31/2002,9228.58,8007.17
8/31/2002,9445.07,8059.74
9/30/2002,9287.89,7183.81
10/31/2002,9321.86,7816.10
11/30/2002,9248.77,8276.15
12/31/2002,8936.70,7789.95
1/31/2003,8786.19,7585.88
2/28/2003,8618.01,7472.06
3/31/2003,8683.14,7544.61
4/30/2003,9276.71,8166.06
5/31/2003,9887.66,8596.31
6/30/2003,10079.07,8705.97
7/31/2003,10340.70,8859.47
8/31/2003,10771.48,9032.25
9/30/2003,10685.93,8936.33
10/31/2003,11495.48,9441.86
11/30/2003,12007.70,9524.93
12/31/2003,12049.23,10024.46
1/31/2004,12111.38,10208.46
2/29/2004,12681.32,10350.35
3/31/2004,12897.65,10194.20
4/30/2004,12167.10,10034.17
5/31/2004,12288.27,10171.87
6/30/2004,12657.63,10369.66
7/31/2004,12145.74,10026.46
8/31/2004,11876.81,10067.01
9/30/2004,12887.03,10176.05
10/31/2004,13231.87,10331.50
11/30/2004,14551.86,10749.53
12/31/2004,14821.91,11115.33
1/31/2005,14573.77,10844.39
2/28/2005,15500.05,11072.60
3/31/2005,15166.16,10876.53
4/30/2005,14495.18,10670.25
5/31/2005,15309.21,11009.76
6/30/2005,15832.14,11025.39
7/31/2005,16235.20,11435.40
8/31/2005,15917.94,11331.07
9/30/2005,16136.94,11422.84
10/31/2005,15440.77,11232.42
11/30/2005,16358.85,11657.25
12/31/2005,16567.56,11661.31
1/31/2006,17476.43,11970.07
2/28/2006,17098.21,12002.55
3/31/2006,17353.98,12151.95
4/30/2006,17299.45,12315.13
5/31/2006,16539.29,11960.68
6/30/2006,16846.23,11976.90
7/31/2006,16212.11,12050.77
8/31/2006,15939.07,12337.50
9/30/2006,15983.04,12655.44
10/31/2006,16738.37,13067.83
11/30/2006,16908.40,13316.33
12/31/2006,17113.98,13503.12
1/31/2007,17929.60,13707.34
2/28/2007,17631.22,13439.24
3/31/2007,18166.48,13589.55
4/30/2007,18879.66,14191.51
5/31/2007,20123.05,14686.72
6/30/2007,19888.78,14442.73
7/31/2007,19697.02,13994.93
8/31/2007,19796.66,14204.72
9/30/2007,20914.34,14735.96
10/31/2007,22201.79,14970.36
11/30/2007,21231.66,14344.50
12/31/2007,21770.06,14244.98
1/31/2008,19431.04,13390.54
2/29/2008,20205.53,12955.54
3/31/2008,20026.88,12899.60
4/30/2008,21868.52,13527.85
5/31/2008,23262.82,13703.07
6/30/2008,22384.84,12547.86
7/31/2008,21302.72,12442.38
8/31/2008,20468.90,12622.35
9/30/2008,17330.16,11497.61
10/31/2008,14379.85,9566.61
11/30/2008,12978.65,8880.16
12/31/2008,13154.62,8974.65
1/31/2009,12112.23,8218.21
2/28/2009,11045.85,7343.15
3/31/2009,11545.76,7986.37
4/30/2009,11660.42,8750.76
5/31/2009,11749.88,9240.21
6/30/2009,11667.38,9258.55
7/31/2009,12662.12,9958.81
8/31/2009,12822.40,10318.36
9/30/2009,13416.82,10703.41
10/31/2009,12827.26,10504.58
11/30/2009,13706.68,11134.67
12/31/2009,14680.65,11349.75
1/31/2010,14041.43,10941.46
2/28/2010,14961.97,11280.38
3/31/2010,16040.10,11961.12
4/30/2010,16334.35,12149.94
5/31/2010,15384.71,11179.76
6/30/2010,14339.87,10594.52
7/31/2010,15691.38,11336.78
8/31/2010,14899.88,10825.03
9/30/2010,16432.76,11791.07
10/31/2010,17004.76,12239.75
11/30/2010,17519.29,12241.30
12/31/2010,18314.81,13059.40
1/31/2011,18559.69,13368.92
2/28/2011,19228.64,13826.93
3/31/2011,19936.63,13832.42
4/30/2011,20772.32,14242.06
5/31/2011,20244.73,14080.85
6/30/2011,19798.40,13846.13
7/31/2011,19233.22,13564.60
8/31/2011,18523.52,12827.72
9/30/2011,17035.68,11925.97
10/31/2011,18958.56,13229.39
11/30/2011,18681.48,13200.17
12/31/2011,18647.84,13335.19
1/31/2012,18764.06,13932.79
2/29/2012,19401.80,14535.27
3/31/2012,19937.09,15013.60
4/30/2012,20198.41,14919.40
5/31/2012,19203.34,14022.73
6/30/2012,19621.17,14600.50
7/31/2012,19547.68,14803.28
8/31/2012,20102.66,15136.70
9/30/2012,20450.89,15527.87
10/31/2012,20226.90,15241.15
11/30/2012,20762.15,15329.54
12/31/2012,20774.13,15469.26
1/31/2013,21916.26,16270.50
2/28/2013,22088.82,16491.38
3/31/2013,22947.77,17109.86
4/30/2013,23238.98,17439.51
5/31/2013,23997.79,17847.42
6/30/2013,23651.06,17607.76
7/31/2013,24746.08,18503.76
8/31/2013,24019.37,17967.87
9/30/2013,25211.37,18531.31
10/31/2013,26664.33,19383.14
11/30/2013,27572.79,19973.82
12/31/2013,28663.09,20479.51
1/31/2014,28848.49,19771.41
2/28/2014,31016.72,20675.87
3/31/2014,30515.01,20849.62
4/30/2014,29427.40,21003.73
5/31/2014,30543.24,21496.82
6/30/2014,31526.07,21940.87
7/31/2014,30404.10,21638.27
8/31/2014,32414.52,22503.94
9/30/2014,32065.30,22188.37
10/31/2014,32652.49,22730.31
11/30/2014,34270.49,23341.63
12/31/2014,34283.87,23282.82
1/31/2015,34422.70,22583.86
2/28/2015,36079.71,23881.84
3/31/2015,36661.47,23504.14
4/30/2015,35294.31,23729.65
5/31/2015,36961.55,24034.78
6/30/2015,36264.02,23569.49
7/31/2015,37660.65,24063.32
8/31/2015,34884.48,22611.47
9/30/2015,34269.88,22051.99
10/31/2015,36299.43,23912.17
11/30/2015,36755.30,23983.27
12/31/2015,37030.99,23605.00
1/31/2016,34348.90,22433.65
2/29/2016,33361.94,22403.38
3/31/2016,35419.09,23923.17
4/30/2016,34881.24,24015.94
5/31/2016,36985.51,24447.20
6/30/2016,37508.77,24510.57
7/31/2016,38940.35,25414.23
8/31/2016,38495.14,25449.93
9/30/2016,38982.74,25454.69
10/31/2016,38420.05,24990.38
11/30/2016,39647.40,25915.90
12/31/2016,39740.80,26428.14
1/31/2017,41123.21,26929.38
2/28/2017,42544.17,27998.70
3/31/2017,42057.49,28031.31
4/30/2017,42759.33,28319.21
5/31/2017,44162.08,28717.73
6/30/2017,44035.15,28896.98
7/31/2017,44960.49,29491.18
8/31/2017,45331.66,29581.48
9/30/2017,46388.92,30191.68
10/31/2017,48403.02,30896.20
11/30/2017,49587.81,31843.78
12/31/2017,49606.34,32197.83
1/31/2018,52513.16,34041.27
2/28/2018,50513.75,32786.65
3/31/2018,49538.01,31953.41
4/30/2018,49747.24,32076.02
5/31/2018,51417.69,32848.48
6/30/2018,50439.40,33050.65
7/31/2018,52373.89,34280.62
8/31/2018,55056.46,35397.62
9/30/2018,55302.10,35599.11
10/31/2018,50387.66,33165.90
11/30/2018,50807.68,33841.76
12/31/2018,46907.21,30786.19
1/31/2019,49686.68,33253.24
2/28/2019,52241.55,34320.95
3/31/2019,53113.91,34987.86
4/30/2019,54077.65,36404.49
5/31/2019,50856.22,34091.06
6/30/2019,53459.99,36493.68
7/31/2019,54119.46,37018.21
8/31/2019,52976.11,36431.79
9/30/2019,51643.43,37113.45
10/31/2019,51714.68,37917.29
11/30/2019,53560.00,39293.66
12/31/2019,54444.47,40479.65
1/31/2020,55890.33,40463.78
2/29/2020,50575.70,37132.85
3/31/2020,44986.62,32546.44
4/30/2020,49830.62,36718.70
5/31/2020,53497.09,38467.52
6/30/2020,56444.29,39232.57
7/31/2020,59666.50,41444.70
8/31/2020,62346.34,44423.74
9/30/2020,59762.50,42735.76
10/31/2020,57323.16,41599.31
11/30/2020,63696.56,46152.92
12/31/2020,66435.49,47927.43
