Date,CTVAX,SP600 TR
7/31/2006,10000.00,10000.00
8/31/2006,10506.30,10172.20
9/30/2006,10411.60,10264.67
10/31/2006,10896.60,10772.92
11/30/2006,11262.20,11071.33
12/31/2006,11751.00,11069.67
1/31/2007,11869.40,11297.57
2/28/2007,11931.20,11236.25
3/31/2007,11939.50,11424.64
4/30/2007,12762.70,11679.32
5/31/2007,12779.80,12216.96
6/30/2007,12730.50,12016.89
7/31/2007,12271.80,11410.45
8/31/2007,11362.50,11624.34
9/30/2007,11417.40,11797.58
10/31/2007,11580.10,12017.06
11/30/2007,10870.90,11125.17
12/31/2007,10521.01,11036.85
1/31/2008,9473.37,10497.08
2/29/2008,9609.04,10173.81
3/31/2008,9304.66,10213.19
4/30/2008,9367.07,10623.11
5/31/2008,9240.57,11092.34
6/30/2008,8518.99,10254.33
7/31/2008,8594.66,10466.02
8/31/2008,9118.90,10903.17
9/30/2008,7599.54,10166.68
10/31/2008,7622.90,8118.37
11/30/2008,7472.19,7169.87
12/31/2008,8034.63,7607.31
1/31/2009,7938.02,6641.15
2/28/2009,7286.32,5845.91
3/31/2009,7603.75,6326.12
4/30/2009,8921.98,7430.44
5/31/2009,9563.26,7550.18
6/30/2009,9414.86,7658.53
7/31/2009,10492.81,8449.31
8/31/2009,10787.92,8642.65
9/30/2009,11740.52,9087.51
10/31/2009,11182.81,8569.86
11/30/2009,11866.82,8793.47
12/31/2009,13396.18,9552.47
1/31/2010,12723.41,9229.23
2/28/2010,13062.58,9625.77
3/31/2010,14632.73,10374.79
4/30/2010,15968.89,10981.55
5/31/2010,14019.20,10188.73
6/30/2010,12288.21,9468.67
7/31/2010,12900.90,10069.16
8/31/2010,11855.54,9317.53
9/30/2010,13036.55,10379.73
10/31/2010,14884.43,10821.38
11/30/2010,14956.10,11207.10
12/31/2010,16196.96,12065.53
1/31/2011,16768.77,12083.83
2/28/2011,17493.18,12616.40
3/31/2011,16541.68,12996.00
4/30/2011,16639.55,13333.79
5/31/2011,15890.07,13213.66
6/30/2011,15176.71,12974.69
7/31/2011,14172.51,12558.41
8/31/2011,13061.73,11594.84
9/30/2011,11170.43,10401.85
10/31/2011,12369.31,11961.69
11/30/2011,12155.29,12037.24
12/31/2011,11769.82,12188.08
1/31/2012,12530.57,12989.83
2/29/2012,13143.13,13264.59
3/31/2012,13801.56,13649.15
4/30/2012,13625.90,13476.89
5/31/2012,12279.72,12631.83
6/30/2012,12093.67,13160.31
7/31/2012,12192.17,13059.46
8/31/2012,12476.72,13554.26
9/30/2012,12805.06,13870.41
10/31/2012,12345.39,13588.79
11/30/2012,12411.06,13724.45
12/31/2012,12961.19,14177.82
1/31/2013,14242.44,14997.10
2/28/2013,13990.77,15208.20
3/31/2013,14951.70,15852.40
4/30/2013,14860.18,15810.25
5/31/2013,15798.24,16497.63
6/30/2013,15191.94,16473.56
7/31/2013,16027.03,17601.12
8/31/2013,16633.34,17172.31
9/30/2013,17845.95,18241.56
10/31/2013,18131.94,18899.65
11/30/2013,18646.73,19749.32
12/31/2013,19354.99,20035.15
1/31/2014,19009.16,19262.40
2/28/2014,19816.09,20120.88
3/31/2014,19585.54,20261.31
4/30/2014,19135.96,19695.82
5/31/2014,20150.40,19749.00
6/30/2014,21107.19,20680.08
7/31/2014,19700.82,19543.79
8/31/2014,21107.19,20383.20
9/30/2014,19331.93,19289.09
10/31/2014,19182.07,20656.31
11/30/2014,18398.19,20599.53
