Date,CWXIX (%),S&P 500 TR (%)
2/19/2020,0.00,0.00
2/20/2020,0.85,-0.38
2/21/2020,3.26,-1.42
2/24/2020,4.39,-4.71
2/25/2020,4.82,-7.60
2/26/2020,4.82,-7.94
2/27/2020,6.09,-11.99
2/28/2020,6.37,-12.70
3/2/2020,5.81,-8.68
3/3/2020,6.09,-11.25
3/4/2020,5.81,-7.49
3/5/2020,6.09,-10.61
3/6/2020,6.37,-12.13
3/9/2020,7.51,-18.80
3/10/2020,6.66,-14.79
3/11/2020,7.37,-18.95
3/12/2020,8.78,-26.64
3/13/2020,8.78,-19.80
3/16/2020,8.78,-29.41
3/17/2020,8.78,-25.17
3/18/2020,8.78,-29.05
3/19/2020,8.64,-28.71
3/20/2020,8.64,-31.79
3/23/2020,8.64,-33.79
