Date,"Warrington Strategic Fund, LP",Barclay CTA,S&P 500 TR Index
1/1/1997,10000.00,10000.00,10000.00
1/31/1997,10255.00,10386.00,10624.70
2/28/1997,10646.74,10748.47,10707.98
3/31/1997,10978.92,10685.06,10267.99
4/30/1997,11150.19,10537.61,10880.99
5/31/1997,12089.04,10571.32,11543.48
6/30/1997,12121.68,10579.78,12060.68
7/31/1997,11947.12,11181.77,13020.33
8/31/1997,11988.94,10734.50,12290.89
9/30/1997,12253.90,10842.92,12963.96
10/31/1997,11649.78,10669.43,12531.06
11/30/1997,11918.89,10820.94,13111.10
12/31/1997,12377.77,11089.30,13336.28
1/31/1998,12625.32,11153.62,13483.83
2/28/1998,12698.55,11043.19,14456.31
3/31/1998,12984.26,11102.83,15196.63
4/30/1998,13420.54,10726.44,15349.52
5/31/1998,13860.73,10807.96,15085.64
6/30/1998,14424.86,10846.87,15698.43
7/31/1998,14486.89,10815.41,15531.27
8/31/1998,14230.47,11455.69,13285.76
9/30/1998,15344.72,11817.69,14136.87
10/31/1998,15783.58,11729.06,15286.79
11/30/1998,15826.19,11619.98,16213.37
12/31/1998,15886.33,11866.32,17147.65
1/31/1999,16696.53,11688.33,17864.67
2/28/1999,17187.41,11994.56,17309.48
3/31/1999,17599.91,11848.22,18001.95
4/30/1999,17863.91,12062.68,18699.15
5/31/1999,18339.09,11890.18,18257.52
6/30/1999,18698.53,12074.48,19270.77
7/31/1999,19222.09,12011.69,18669.06
8/31/1999,19610.38,11973.25,18576.75
9/30/1999,20218.30,11979.24,18067.46
10/31/1999,19322.63,11474.91,19210.80
11/30/1999,19740.00,11699.83,19601.29
12/31/1999,19907.79,11725.56,20755.72
1/31/2000,20343.77,11890.90,19712.91
2/29/2000,20791.33,11838.57,19339.77
3/31/2000,21103.20,11740.31,21231.75
4/30/2000,21326.90,11551.29,20592.98
5/31/2000,21030.45,11643.70,20170.45
6/30/2000,21667.67,11533.09,20667.73
7/31/2000,22189.87,11394.69,20344.59
8/31/2000,22587.06,11686.40,21608.28
9/30/2000,23192.40,11512.27,20467.50
10/31/2000,23644.65,11613.58,20381.05
11/30/2000,23989.86,11931.79,18774.21
12/31/2000,24289.73,12647.70,18866.11
1/31/2001,25086.44,12646.43,19535.37
2/28/2001,24797.94,12568.02,17754.18
3/31/2001,24711.15,13122.27,16629.43
4/30/2001,23213.66,12621.00,17921.66
5/31/2001,23694.18,12696.73,18041.79
6/30/2001,23625.47,12565.96,17602.63
7/31/2001,23774.31,12483.02,17429.41
8/31/2001,24287.83,12669.02,16338.23
9/30/2001,22784.41,12895.79,15018.89
10/31/2001,23625.16,13225.92,15305.27
11/30/2001,24014.97,12628.11,16479.31
12/31/2001,24524.09,12754.39,16623.68
1/31/2002,25117.57,12643.98,16381.05
2/28/2002,25378.80,12375.44,16065.20
3/31/2002,25467.62,12447.48,16669.37
4/30/2002,25819.08,12333.90,15658.69
5/31/2002,25968.83,12651.99,15543.38
6/30/2002,26231.11,13468.38,14436.18
7/31/2002,26545.89,13862.08,13310.81
8/31/2002,27148.48,14041.18,13398.30
9/30/2002,27805.47,14380.75,11942.09
10/31/2002,27241.02,13899.75,12993.22
11/30/2002,26783.37,13703.28,13757.98
12/31/2002,28157.36,14330.53,12949.79
1/31/2003,28804.98,14747.66,12610.53
2/28/2003,29311.94,15133.09,12421.30
3/31/2003,30071.12,14434.50,12541.94
4/30/2003,29965.87,14559.08,13575.01
5/31/2003,30319.47,15301.36,14290.17
6/30/2003,30825.81,14936.42,14472.53
7/31/2003,30548.37,14790.26,14727.69
8/31/2003,31449.55,14880.65,15014.89
9/30/2003,31600.51,14954.39,14855.43
10/31/2003,31749.03,15141.69,15695.86
11/30/2003,33028.52,15058.96,15833.97
12/31/2003,33064.85,15576.16,16664.34
1/31/2004,33567.43,15702.50,16970.22
2/29/2004,33879.61,16280.14,17206.08
3/31/2004,34956.98,16348.33,16946.50
4/30/2004,35481.34,15767.29,16680.46
