Date,Wickapogue Structured Credit Fund,Barclays U.S. Agg. Bond TR Index
11/1/2016,10000.00,10000.00
11/30/2016,10709.00,9763.48
12/31/2016,11061.33,9777.23
1/31/2017,11436.31,9796.43
2/28/2017,11716.49,9862.27
3/31/2017,12078.53,9857.08
4/30/2017,12324.94,9933.17
5/31/2017,12735.36,10009.60
6/30/2017,13010.44,9999.55
7/31/2017,13113.22,10042.59
8/31/2017,13312.54,10132.63
9/30/2017,13662.66,10084.40
10/31/2017,13884.00,10090.23
11/30/2017,14042.28,10077.27
12/31/2017,14243.08,10123.53
1/31/2018,14412.57,10006.93
2/28/2018,14519.23,9912.09
3/31/2018,14635.38,9975.66
4/30/2018,14730.51,9901.45
5/31/2018,14835.10,9972.10
6/30/2018,14839.55,9959.83
7/31/2018,14876.65,9962.20
8/31/2018,14997.15,10026.32
9/30/2018,15097.63,9961.76
10/31/2018,15167.08,9883.05
11/30/2018,15201.96,9942.02
12/31/2018,15375.26,10124.67
1/31/2019,15413.70,10232.22
2/28/2019,15529.30,10226.28
3/31/2019,15760.69,10422.63
4/30/2019,15877.32,10425.30
5/31/2019,16088.49,10610.37
6/30/2019,16341.08,10743.59
7/31/2019,16424.42,10767.24
8/31/2019,16652.72,11046.26
9/30/2019,16729.32,10987.43
10/31/2019,16903.30,11020.53
11/30/2019,17018.25,11014.89
12/31/2019,17310.96,11007.22
1/31/2020,17475.42,11219.06
2/29/2020,17931.52,11421.00
3/31/2020,16159.89,11353.76
4/30/2020,16782.04,11555.61
5/31/2020,17144.54,11609.38
6/30/2020,17444.57,11682.55
7/31/2020,17758.57,11857.03
8/31/2020,17945.03,11761.30
9/30/2020,18083.21,11754.87
10/31/2020,18276.70,11702.38
11/30/2020,18461.30,11817.21
12/31/2020,18636.68,11833.48
