Date,IOXIX,Bloomberg Barclays US MBS Index
11/20/2014,10000.00,10000.00
11/30/2014,10250.00,10039.27
12/31/2014,10159.60,10054.79
1/31/2015,10152.78,10140.11
2/28/2015,10265.34,10123.62
3/31/2015,10334.63,10161.10
4/30/2015,10417.46,10165.34
5/31/2015,10374.81,10162.99
6/30/2015,10299.72,10085.48
7/31/2015,10283.21,10149.05
8/31/2015,10274.43,10157.63
9/30/2015,10190.62,10217.01
10/31/2015,10199.79,10223.75
11/30/2015,10223.90,10209.86
12/31/2015,10156.53,10206.54
1/31/2016,10217.78,10338.99
2/29/2016,10185.50,10377.60
3/31/2016,10260.63,10408.28
4/30/2016,10286.33,10425.13
5/31/2016,10343.62,10438.61
6/30/2016,10403.30,10523.43
7/31/2016,10351.64,10544.97
8/31/2016,10354.18,10557.13
9/30/2016,10374.62,10586.18
10/31/2016,10343.85,10558.35
11/30/2016,10385.87,10377.49
12/31/2016,10426.31,10377.34
1/31/2017,10411.37,10373.82
2/28/2017,10411.11,10423.45
3/31/2017,10449.92,10426.41
4/30/2017,10470.75,10494.42
5/31/2017,10536.88,10559.58
6/30/2017,10500.28,10517.15
7/31/2017,10572.73,10564.68
8/31/2017,10674.86,10641.89
9/30/2017,10683.65,10618.04
10/31/2017,10648.92,10614.72
11/30/2017,10623.01,10599.41
12/31/2017,10683.85,10634.03
1/31/2018,10698.62,10509.39
2/28/2018,10672.14,10440.45
3/31/2018,10724.00,10507.14
4/30/2018,10743.12,10454.34
5/31/2018,10759.94,10527.41
6/30/2018,10761.04,10532.52
7/31/2018,10803.41,10521.38
8/31/2018,10806.01,10585.11
9/30/2018,10779.25,10520.11
10/31/2018,10805.88,10453.78
11/30/2018,10804.17,10547.99
12/31/2018,10910.49,10739.26
1/31/2019,10900.99,10824.38
2/28/2019,10964.97,10814.58
3/31/2019,11014.19,10972.00
4/30/2019,11110.52,10965.51
5/31/2019,11167.02,11107.26
6/30/2019,11328.83,11187.17
7/31/2019,11272.65,11232.36
8/31/2019,11466.41,11332.64
9/30/2019,11470.45,11340.66
10/31/2019,11562.00,11380.69
11/30/2019,11555.00,11389.88
12/31/2019,11623.00,11421.44
1/31/2020,11920.00,11501.25
2/29/2020,12051.00,11620.47
3/31/2020,11901.00,11743.43
4/30/2020,12064.00,11817.98
5/31/2020,12059.00,11832.43
6/30/2020,12114.00,11821.60
7/31/2020,12177.00,11842.69
8/31/2020,12144.00,11847.34
9/30/2020,12107.00,11834.67
10/31/2020,12044.00,11829.93
11/30/2020,12020.00,11838.20
12/31/2020,11982.00,11863.68
