Date,Catalyst/Millburn,S&P 500 TR Index,U.S. Bonds,Hedge Funds
1/1/1997,10000.00,10000.00,10000.00,10000.00
1/31/1997,10944.91,10624.70,9928.91,10317.00
2/28/1997,11535.37,10707.98,9933.19,10423.27
3/31/1997,10934.28,10267.99,9679.00,10252.32
4/30/1997,10678.78,10880.99,9912.64,10241.05
5/31/1997,11323.00,11543.48,10023.87,10689.60
6/30/1997,11735.93,12060.68,10217.23,10978.22
7/31/1997,13065.43,13020.33,10817.39,11403.08
8/31/1997,12144.73,12290.89,10516.25,11441.85
9/30/1997,12914.78,12963.96,10805.87,11867.49
10/31/1997,12272.93,12531.06,11169.89,11685.91
11/30/1997,12336.73,13111.10,11318.18,11577.24
12/31/1997,12838.87,13336.28,11507.98,11679.12
1/31/1998,13126.27,13483.83,11742.14,11596.19
2/28/1998,13320.93,14456.31,11657.83,11975.39
3/31/1998,14001.18,15196.63,11681.97,12334.65
4/30/1998,13416.33,15349.52,11725.67,12453.06
5/31/1998,13626.64,15085.64,11949.57,12194.04
6/30/1998,14102.50,15698.43,12227.28,12178.19
7/31/1998,13396.54,15531.27,12176.02,12081.98
8/31/1998,12737.56,13285.76,12725.59,11030.85
9/30/1998,13687.49,14136.87,13191.41,11106.96
10/31/1998,14007.38,15286.79,12991.97,11242.46
11/30/1998,14412.64,16213.37,13091.70,11659.56
12/31/1998,15538.03,17147.65,13064.25,11984.86
1/31/1999,15424.60,17864.67,13182.01,12253.32
2/28/1999,15561.36,17309.48,12533.78,12091.58
3/31/1999,16098.95,18001.95,12504.17,12471.25
4/30/1999,17145.77,18699.15,12522.38,13032.46
5/31/1999,16485.01,18257.52,12325.26,13126.29
6/30/1999,18386.65,19270.77,12194.48,13602.78
7/31/1999,17435.24,18669.06,12135.94,13673.51
8/31/1999,17186.83,18576.75,12088.46,13672.15
9/30/1999,17383.84,18067.46,12177.79,13694.02
10/31/1999,15996.16,19210.80,12185.59,13913.12
11/30/1999,16892.93,19601.29,12102.74,14617.13
12/31/1999,18179.00,20755.72,11921.89,15735.34
1/31/2000,18128.49,19712.91,12091.79,15836.05
2/29/2000,18249.00,19339.77,12456.65,16811.55
3/31/2000,19098.51,21231.75,12882.85,16967.89
4/30/2000,17996.46,20592.98,12779.63,16484.31
5/31/2000,16709.20,20170.45,12733.39,16161.22
6/30/2000,16424.16,20667.73,13009.09,16755.95
7/31/2000,16156.25,20344.59,13232.98,16655.41
8/31/2000,17439.67,21608.28,13534.68,17289.98
9/30/2000,16176.64,20467.50,13370.56,17075.59
10/31/2000,16091.57,20380.94,13579.77,16769.94
11/30/2000,16279.72,18774.21,14008.38,16184.67
12/31/2000,19034.12,18866.11,14338.16,16519.69
1/31/2001,20435.39,19535.37,14362.51,17079.71
2/28/2001,19528.87,17754.18,14608.12,16702.25
3/31/2001,20685.57,16629.43,14534.69,16436.68
4/30/2001,20283.56,17921.66,14139.26,16757.19
5/31/2001,20500.37,18041.79,14157.30,16956.60
6/30/2001,20258.75,17602.63,14279.03,17005.78
7/31/2001,19109.14,17429.30,14810.64,16864.63
8/31/2001,19193.03,16338.23,15127.24,16795.49
9/30/2001,16959.39,15018.89,15240.03,16320.17
10/31/2001,18835.92,15305.27,15988.99,16648.21
11/30/2001,18702.70,16479.31,15228.89,16992.83
12/31/2001,19659.73,16623.68,14941.92,17283.40
1/31/2002,20209.13,16381.05,15135.08,17360.72
2/28/2002,18469.95,16065.20,15311.30,17238.46
3/31/2002,19152.86,16669.37,14692.27,17567.90
4/30/2002,18542.31,15658.69,15250.14,17616.85
5/31/2002,19746.86,15543.38,15298.09,17624.19
6/30/2002,21744.20,14436.18,15572.75,17282.43
7/31/2002,21678.92,13310.81,16053.15,16788.04
8/31/2002,22030.13,13398.30,16753.89,16877.01
9/30/2002,22384.88,11942.09,17452.11,16616.34
10/31/2002,21371.44,12993.22,16950.81,16714.44
11/30/2002,21792.35,13757.98,16763.43,17068.51
12/31/2002,22380.74,12949.79,17450.07,17032.67
1/31/2003,22860.14,12610.53,17391.10,17143.72
2/28/2003,24090.68,12421.30,17917.51,17147.32
3/31/2003,22118.45,12541.94,17692.22,17171.67
4/30/2003,23372.32,13575.01,17871.85,17624.32
5/31/2003,26433.32,14290.17,18876.79,18254.56
6/30/2003,25815.09,14472.53,18588.80,18500.27
7/31/2003,27306.75,14727.69,16926.32,18741.51
8/31/2003,28641.56,15014.89,17196.19,19084.48
9/30/2003,27898.39,14855.43,18091.45,19306.43
10/31/2003,27233.50,15695.86,17588.13,19779.06
11/30/2003,26981.83,15833.97,17673.21,19987.73
12/31/2003,28350.02,16664.34,17883.40,20362.29
1/31/2004,28527.84,16970.22,18190.12,20764.65
2/29/2004,29959.83,17206.08,18552.62,21011.34
3/31/2004,29516.47,16946.50,18834.29,21117.65
4/30/2004,27011.08,16680.46,17777.70,20804.69
5/31/2004,26382.51,16909.33,17690.33,20741.03
6/30/2004,25763.11,17238.22,17852.19,20897.00
7/31/2004,24079.46,16667.63,18154.14,20695.97
8/31/2004,23335.99,16735.09,18827.83,20719.77
9/30/2004,24209.13,16916.32,18986.92,21061.44
10/31/2004,26253.73,17174.76,19266.25,21238.78
11/30/2004,29246.49,17869.70,18837.42,21841.96
12/31/2004,30495.35,18477.77,19261.23,22201.70
1/31/2005,28874.61,18027.31,19746.88,22156.18
2/28/2005,29168.22,18406.72,19492.01,22562.53
3/31/2005,28023.04,18080.81,19361.96,22367.14
4/30/2005,25943.29,17737.86,20024.29,22032.75
5/31/2005,28104.86,18302.29,20544.16,22262.55
6/30/2005,29722.05,18328.27,20852.00,22616.97
7/31/2005,30938.12,19009.86,20305.09,23136.48
8/31/2005,30923.35,18836.43,20896.25,23326.20
9/30/2005,31999.41,18988.91,20296.29,23775.93
10/31/2005,31424.01,18672.35,19922.45,23441.40
11/30/2005,34325.80,19378.58,20046.89,23831.23
12/31/2005,34129.67,19385.36,20513.72,24265.68
1/31/2006,36565.94,19898.65,20325.88,25111.58
2/28/2006,35949.49,19952.66,20469.92,25224.83
3/31/2006,36982.13,20201.05,19771.77,25716.97
4/30/2006,38492.39,20472.23,19386.79,26197.10
5/31/2006,35512.33,19883.05,19388.06,25788.43
6/30/2006,35183.87,19909.95,19536.72,25727.83
7/31/2006,32603.16,20032.86,19911.20,25682.29
8/31/2006,32519.86,20509.40,20458.18,25941.68
9/30/2006,33134.25,21037.99,20792.57,25987.34
10/31/2006,35180.92,21723.48,20945.33,26446.79
11/30/2006,35694.58,22136.67,21356.48,26994.24
12/31/2006,37801.80,22447.17,20893.43,27394.30
1/31/2007,39156.11,22786.63,20733.06,27696.16
2/28/2007,38124.94,22340.90,21348.77,27884.76
3/31/2007,39199.23,22590.82,21113.51,28151.13
4/30/2007,42060.85,23591.44,21278.49,28650.80
5/31/2007,45219.91,24414.72,20881.17,29221.86
6/30/2007,46109.88,24009.14,20705.16,29435.32
7/31/2007,42979.18,23264.71,21259.09,29458.70
8/31/2007,39439.96,23613.41,21655.07,29007.35
9/30/2007,41636.98,24496.56,21715.93,29788.90
10/31/2007,45280.76,24886.23,22022.58,30637.17
11/30/2007,42322.55,23845.77,23035.15,29963.41
12/31/2007,42282.68,23680.36,22942.83,30123.09
1/31/2008,42776.84,22259.99,23548.35,29312.28
2/29/2008,44617.34,21536.81,23648.87,29751.21
3/31/2008,44029.83,21443.89,23854.20,29085.69
4/30/2008,44321.08,22488.24,23396.39,29560.09
5/31/2008,45147.84,22779.55,22930.55,30112.80
6/30/2008,46589.28,20859.12,23323.78,29712.53
7/31/2008,45032.34,20683.75,23306.67,29031.76
8/31/2008,43434.94,20982.96,23885.42,28613.87
9/30/2008,43226.70,19113.26,23980.41,26860.62
10/31/2008,44043.72,15903.17,23197.49,25022.80
11/30/2008,43489.29,14762.09,26051.30,24355.21
12/31/2008,44537.88,14919.19,28455.07,24392.15
1/31/2009,42949.34,13661.67,25993.71,24370.18
2/28/2009,43238.81,12207.00,25730.82,24074.25
3/31/2009,43159.95,13276.31,26966.77,24473.10
4/30/2009,44237.48,14546.98,25573.38,25354.51
5/31/2009,43761.93,15360.61,24872.73,26659.41
6/30/2009,42598.14,15391.11,25040.29,26725.83
7/31/2009,43470.68,16555.19,25191.62,27393.95
8/31/2009,44280.02,17152.89,25666.34,27750.15
9/30/2009,46985.67,17793.00,26174.89,28523.62
10/31/2009,45232.31,17462.47,25807.39,28465.73
11/30/2009,47432.58,18509.91,26256.28,28897.36
12/31/2009,47977.55,18867.44,24778.69,29266.72
1/31/2010,45442.33,18188.73,25423.55,29043.96
2/28/2010,47352.53,18752.13,25492.13,29235.53
3/31/2010,51712.89,19883.77,25008.15,29964.64
4/30/2010,53406.00,20197.66,25706.69,30321.44
5/31/2010,48595.78,18584.86,26808.70,29444.00
6/30/2010,46925.12,17611.97,28050.64,29163.59
7/31/2010,48125.83,18845.88,28072.98,29633.93
8/31/2010,47924.38,17995.17,29981.63,29595.76
9/30/2010,51910.50,19601.09,29510.79,30626.96
10/31/2010,53683.65,20346.96,28533.52,31282.93
11/30/2010,53324.18,20349.52,28154.80,31341.84
12/31/2010,57768.72,21709.52,27101.94,32265.14
1/31/2011,57158.17,22224.05,26515.18,32396.07
2/28/2011,59117.71,22985.42,26824.95,32794.85
3/31/2011,58128.78,22994.56,26827.39,32814.63
4/30/2011,62734.01,23675.53,27329.03,33299.63
5/31/2011,58726.63,23407.54,28274.73,32900.16
6/30/2011,57039.43,23017.35,27729.77,32513.31
7/31/2011,58946.98,22549.34,28925.24,32586.57
8/31/2011,55351.65,21324.37,31474.83,31538.95
9/30/2011,51585.29,19825.34,34568.63,30311.99
10/31/2011,54058.48,21992.09,33248.36,31126.11
11/30/2011,53523.56,21943.53,34152.61,30707.36
12/31/2011,53609.22,22167.98,35212.71,30569.83
1/31/2012,54962.93,23161.41,35195.98,31419.42
2/29/2012,55459.75,24162.95,34467.33,32066.00
3/31/2012,55245.02,24958.11,33171.38,32009.04
4/30/2012,55589.43,24801.52,34608.32,31845.12
5/31/2012,55106.19,23310.91,37182.18,31013.78
6/30/2012,53218.43,24271.38,36675.96,31103.05
7/31/2012,54795.45,24608.48,37886.46,31372.29
8/31/2012,55413.09,25162.75,37482.33,31630.45
9/30/2012,55394.77,25813.02,36748.41,32044.65
10/31/2012,54820.85,25336.38,36705.87,31922.52
11/30/2012,56531.97,25483.31,37195.52,32051.95
12/31/2012,57857.63,25715.58,36465.21,32513.72
1/31/2013,59383.84,27047.54,35188.45,33330.91
2/28/2013,58634.77,27414.72,35631.49,33367.39
3/31/2013,59942.11,28442.86,35597.13,33683.76
4/30/2013,62293.90,28990.86,37020.26,33897.11
5/31/2013,58917.44,29668.96,34711.11,34059.53
6/30/2013,56527.84,29270.56,33610.17,33559.41
7/31/2013,57510.86,30760.04,32986.50,33994.09
8/31/2013,55237.34,29869.19,32739.63,33757.46
9/30/2013,57038.84,30805.83,32860.81,34289.87
10/31/2013,58559.15,32221.89,33298.28,34806.30
11/30/2013,59899.28,33203.82,32477.27,35114.37
12/31/2013,59058.04,34044.46,31848.35,35482.83
1/31/2014,55941.81,32867.34,33609.38,35292.08
2/28/2014,60088.91,34370.88,33887.18,35985.65
3/31/2014,60761.78,34659.72,34110.26,35879.52
4/30/2014,61740.66,34915.91,34791.59,35802.31
5/31/2014,63508.79,35735.60,35792.23,36132.75
6/30/2014,64562.10,36473.77,35713.63,36603.06
7/31/2014,63500.52,35970.74,35910.44,36373.80
8/31/2014,66497.71,37409.80,37367.31,36826.83
9/30/2014,66695.32,36885.20,36673.19,36487.83
10/31/2014,68814.36,37786.12,37681.84,36341.96
11/30/2014,72060.55,38802.34,38724.56,36626.47
12/31/2014,72047.85,38704.59,39833.78,36541.05
1/31/2015,72042.83,37542.66,43243.07,36525.11
2/28/2015,74198.20,39700.38,40930.58,37211.00
3/31/2015,77103.53,39072.49,41410.88,37348.48
4/30/2015,73852.02,39447.38,40123.93,37703.69
5/31/2015,73020.82,39954.62,39486.71,37925.29
6/30/2015,70603.16,39181.13,37973.13,37458.92
7/31/2015,74461.97,40002.05,39302.91,37267.70
8/31/2015,69752.18,37588.56,39295.31,36378.11
