Date,MLXIX,Alerian MLP TR Index
12/22/2014,10000.00,10000.00
12/31/2014,9990.00,10107.23
1/30/2015,9560.00,9798.78
2/27/2015,10369.49,10002.53
3/31/2015,10457.43,9578.75
4/30/2015,11046.49,10170.99
5/29/2015,10463.98,9807.37
6/30/2015,10175.71,8995.06
7/31/2015,9487.32,8702.92
8/31/2015,8721.02,8271.11
9/30/2015,7040.70,7006.91
10/30/2015,7633.46,7686.21
11/30/2015,6668.67,7065.50
12/31/2015,5431.47,6813.29
1/31/2016,4780.14,6056.70
2/29/2016,4697.85,6027.77
3/31/2016,5420.60,6529.51
4/30/2016,6629.30,7250.46
5/31/2016,7006.12,7434.01
6/30/2016,7239.43,7815.52
7/31/2016,7268.59,7859.06
8/31/2016,7725.35,7755.71
9/30/2016,8338.27,7899.44
10/31/2016,7944.20,7547.90
11/30/2016,8605.18,7721.47
12/31/2016,8981.88,8060.53
1/31/2017,9013.17,8454.90
2/28/2017,8934.73,8488.87
3/31/2017,8954.74,8378.76
4/30/2017,8579.63,8271.41
5/31/2017,7916.23,7897.59
6/30/2017,7935.27,7846.42
7/31/2017,7953.11,7947.90
8/31/2017,7591.90,7554.94
9/30/2017,7893.50,7607.23
10/31/2017,7368.69,7292.37
11/30/2017,7194.05,7193.80
12/31/2017,7741.93,7534.97
1/31/2018,7881.29,7969.07
2/28/2018,6941.94,7196.56
3/31/2018,6717.36,6697.13
4/30/2018,7218.00,7239.24
5/31/2018,7808.65,7604.75
6/30/2018,7801.07,7487.34
7/31/2018,8119.06,7980.10
8/31/2018,8125.09,8106.22
9/30/2018,7943.51,7979.27
10/31/2018,7206.81,7341.64
11/30/2018,7049.78,7280.59
12/31/2018,6309.68,6599.25
1/31/2019,7358.96,7433.12
2/28/2019,7363.77,7453.47
3/31/2019,7757.07,7709.29
4/30/2019,7574.63,7606.64
5/31/2019,7296.07,7519.82
6/30/2019,7446.83,7718.57
7/31/2019,7210.35,7703.58
8/31/2019,6774.01,7279.14
9/30/2019,7211.38,7330.75
10/31/2019,6847.00,6874.96
11/30/2019,6595.00,6479.40
12/31/2019,7069.00,7031.85
1/31/2020,6741.00,6637.50
2/29/2020,5912.00,5704.96
3/31/2020,3297.00,3010.48
4/30/2020,4399.00,4504.23
5/31/2020,4727.00,4907.38
6/30/2020,4583.00,4521.04
7/31/2020,4572.00,4360.40
8/31/2020,4700.00,4383.12
9/30/2020,4180.00,3786.04
10/31/2020,4199.00,3951.81
11/30/2020,4981.00,4891.71
12/31/2020,5006.00,5014.55
1/31/2021,5279.00,5307.58
2/28/2021,5693.00,5720.07
3/31/2021,6037.00,6115.30
