Date,SL Advisors MLP Strategy,Alerian MLP TR Index
4/30/2009,10000.00,10000.00
5/31/2009,10997.95,10931.49
6/30/2009,10890.73,10746.63
7/31/2009,12001.93,12084.35
8/31/2009,12021.37,11692.30
9/30/2009,12151.90,12252.94
10/31/2009,12435.71,12603.55
11/30/2009,13215.50,13404.86
12/31/2009,13891.09,14290.36
1/31/2010,13997.66,14380.62
2/28/2010,14762.27,15036.42
3/31/2010,15071.72,15469.34
4/30/2010,15451.17,15992.51
5/31/2010,14766.39,15127.62
6/30/2010,15535.92,15973.96
7/31/2010,16456.93,17177.16
8/31/2010,16215.22,16739.13
9/30/2010,17044.00,17765.98
10/31/2010,17393.56,18724.53
11/30/2010,17971.18,19082.51
12/31/2010,18468.21,19413.82
1/31/2011,18703.17,20000.57
2/28/2011,19674.74,20702.73
3/31/2011,19686.91,20577.47
4/30/2011,20213.22,21257.88
5/31/2011,19357.43,20204.73
6/30/2011,19715.66,20424.78
7/31/2011,19250.32,20039.36
8/31/2011,19202.49,19823.84
9/30/2011,18574.56,19003.80
10/31/2011,20284.15,20954.57
11/30/2011,20326.66,20904.24
12/31/2011,21721.34,22107.62
1/31/2012,22093.42,22537.89
2/29/2012,23263.21,23479.78
3/31/2012,22419.27,22543.19
4/30/2012,22628.34,23049.33
5/31/2012,21047.92,21323.53
6/30/2012,21738.25,22029.29
7/31/2012,23007.20,23147.53
8/31/2012,23737.11,23518.57
9/30/2012,24288.81,23987.06
10/31/2012,24086.50,24106.64
11/30/2012,24198.78,23914.78
12/31/2012,23441.68,23168.53
1/31/2013,26461.11,26093.92
2/28/2013,26932.04,26325.71
3/31/2013,28504.38,27742.52
4/30/2013,28365.67,27997.20
5/31/2013,28056.11,27424.65
6/30/2013,28813.56,28281.58
7/31/2013,28888.52,28142.51
8/31/2013,28793.12,27439.03
9/30/2013,29182.70,28075.72
10/31/2013,29876.14,28830.49
11/30/2013,31097.62,29081.95
12/31/2013,32173.17,29558.76
1/31/2014,32642.90,29734.16
2/28/2014,33527.41,29679.67
3/31/2014,34844.40,30111.07
4/30/2014,35693.65,31396.00
5/31/2014,37693.56,32460.69
6/30/2014,41304.89,34380.62
7/31/2014,39667.30,33161.72
8/31/2014,42630.91,35878.60
9/30/2014,42010.54,35317.78
10/31/2014,40271.18,33693.59
11/30/2014,40427.78,32824.92
12/31/2014,39134.34,30978.60
1/31/2015,37959.59,30033.11
2/28/2015,40174.34,30657.70
3/31/2015,39799.18,29358.76
4/30/2015,41734.55,31174.06
5/31/2015,40683.42,30059.60
6/30/2015,38733.82,27569.77
7/31/2015,36835.44,26674.42
8/31/2015,34589.31,25350.89
9/30/2015,28555.64,21476.23
10/31/2015,30307.91,23558.12
11/30/2015,27823.72,21655.79
12/31/2015,23858.77,20882.67
1/31/2016,21026.26,18563.70
2/29/2016,21218.58,18475.15
3/31/2016,23018.65,20012.87
4/30/2016,26398.33,22222.66
5/31/2016,27585.24,22785.19
6/30/2016,28905.17,23954.51
7/31/2016,29191.05,24087.91
8/31/2016,30227.69,23771.17
9/30/2016,31916.77,24211.84
10/31/2016,29733.81,23134.28
11/30/2016,31925.78,23666.35
12/31/2016,33538.05,24705.49
1/31/2017,33758.98,25914.17
2/28/2017,33821.86,26018.24
3/31/2017,34138.75,25680.88
4/30/2017,33136.75,25351.84
5/31/2017,31259.42,24205.98
6/30/2017,31624.49,24049.31
7/31/2017,31877.06,24360.35
8/31/2017,30791.72,23155.93
9/30/2017,31424.53,23316.19
10/31/2017,29590.35,22351.13
11/30/2017,28969.16,22049.04
12/31/2017,30936.79,23094.72
1/31/2018,31883.01,24425.22
2/28/2018,28285.86,22057.48
3/31/2018,27161.48,20526.71
4/30/2018,28988.70,22188.30
5/31/2018,31941.80,23308.60
6/30/2018,31626.39,22948.72
7/31/2018,32939.20,24459.03
8/31/2018,33261.21,24845.61
9/30/2018,32746.16,24456.49
10/31/2018,29621.88,22502.14
11/30/2018,29079.27,22315.03
12/31/2018,26695.53,20226.72
1/31/2019,30512.95,22782.55
2/28/2019,30964.30,22844.90
3/31/2019,32616.91,23628.99
4/30/2019,32000.67,23314.39
5/31/2019,31133.38,23048.28
6/30/2019,32067.38,23657.43
7/31/2019,31660.13,23611.51
8/31/2019,30669.16,22310.58
9/30/2019,31604.57,22468.78
10/31/2019,29878.96,21071.78
11/30/2019,29394.92,19859.38
12/31/2019,31155.68,21552.66
1/31/2020,29974.88,20343.96
2/29/2020,26947.42,17485.72
3/31/2020,15325.00,9227.12
