Date,TEZIX,S&P 500 TR Index,S&P 10% Vol Risk Parity TR Index
12/31/2019,10000.00,10000.00,10000.00
1/31/2020,10340.00,9996.08,9979.55
2/29/2020,10210.00,9173.21,9667.81
3/31/2020,9250.00,8040.20,8630.89
4/30/2020,9400.00,9070.90,8835.96
5/31/2020,9530.00,9502.93,9323.18
6/30/2020,9700.00,9691.92,9648.52
7/31/2020,10380.00,10238.40,9996.54
8/31/2020,10381.00,10974.34,10244.76
9/30/2020,10260.00,10557.35,10121.87
10/31/2020,9660.00,10276.60,9907.18
11/30/2020,9780.00,11401.51,10718.69
12/31/2020,9845.00,11839.88,11147.92
1/31/2021,9578.00,11720.34,11181.91
2/28/2021,9407.00,12043.53,11278.17
3/31/2021,9429.00,12570.98,11279.99
