Date,TRXAX,50% MSCI ACWI/50% ML A-AAA 1-3yr US Corp
7/29/2011,10000.00,10000.00
7/31/2011,10000.00,10020.00
8/31/2011,9898.50,9636.23
9/30/2011,9537.90,9157.31
10/31/2011,10028.10,9683.86
11/30/2011,10014.90,9517.30
12/31/2011,9999.35,9522.05
1/31/2012,10182.69,9849.61
2/29/2012,10318.69,10119.49
3/31/2012,10431.61,10167.05
4/30/2012,10413.73,10121.30
5/31/2012,9941.75,9663.82
6/30/2012,10182.76,9920.88
7/31/2012,10383.14,10027.03
8/31/2012,10605.35,10156.38
9/30/2012,10808.93,10338.18
10/31/2012,10798.78,10317.50
11/30/2012,10920.57,10388.69
12/31/2012,11206.80,10516.47
1/31/2013,11464.78,10768.87
2/28/2013,11351.27,10781.79
3/31/2013,11485.86,10887.45
4/30/2013,11516.91,11059.48
5/31/2013,11496.21,11041.78
6/30/2013,11316.21,10864.01
7/31/2013,11721.85,11147.56
8/31/2013,11649.04,11033.85
9/30/2013,12005.86,11340.59
10/31/2013,12203.87,11586.69
11/30/2013,12255.98,11682.85
12/31/2013,12378.52,11782.16
1/31/2014,12110.81,11563.01
2/28/2014,12464.18,11857.87
3/31/2014,12595.26,11883.96
4/30/2014,12702.55,11955.26
5/31/2014,12917.12,12104.70
6/30/2014,13070.86,12220.90
7/31/2014,12822.20,12145.13
8/31/2014,13038.42,12293.31
9/30/2014,12812.89,12089.24
10/31/2014,12726.31,12147.27
11/30/2014,12931.93,12263.88
12/31/2014,12768.25,12131.43
1/31/2015,12734.68,12073.20
2/28/2015,13148.72,12412.45
3/31/2015,12865.89,12330.53
4/30/2015,13000.49,12520.42
5/31/2015,13168.75,12522.93
6/30/2015,12995.84,12368.90
7/31/2015,13165.35,12430.74
8/31/2015,12611.62,12000.64
9/30/2015,12438.66,11807.43
10/31/2015,12947.98,12279.72
11/30/2015,12902.71,12230.60
12/31/2015,12747.38,12113.19
1/31/2016,12542.51,11774.02
2/29/2016,12542.51,11738.70
3/31/2016,13038.18,12216.46
4/30/2016,13163.88,12327.63
5/31/2016,13186.73,12338.73
6/30/2016,13125.71,12339.96
7/31/2016,13252.14,12617.61
8/31/2016,13298.12,12639.06
9/30/2016,13290.46,12684.56
10/31/2016,13129.23,12579.28
11/30/2016,13083.16,12604.44
12/31/2016,13357.85,12750.65
1/31/2017,13546.49,12941.91
2/28/2017,13735.12,13146.39
3/31/2017,13875.81,13234.47
4/30/2017,14053.25,13356.23
5/31/2017,14396.30,13525.85
6/30/2017,14282.87,13565.08
7/31/2017,14330.64,13782.12
8/31/2017,14306.75,13826.22
9/30/2017,14408.99,13960.34
10/31/2017,14432.89,14111.11
11/30/2017,14600.16,14235.29
12/31/2017,14843.69,14359.13
1/31/2018,15209.90,14750.99
2/28/2018,14843.69,14426.77
3/31/2018,14831.48,14278.75
4/30/2018,14859.72,14358.42
5/31/2018,14774.04,14400.93
6/30/2018,14869.05,14363.63
7/31/2018,14856.72,14597.04
8/31/2018,14980.01,14689.14
9/30/2018,14967.10,14727.04
10/31/2018,14706.26,14179.78
11/30/2018,14842.89,14296.77
12/31/2018,14363.08,13848.28
1/31/2019,14772.32,14443.75
2/28/2019,15009.94,14658.97
3/31/2019,15215.12,14807.02
4/30/2019,15308.22,15080.95
5/31/2019,15002.32,14682.81
6/30/2019,15506.15,15217.27
7/31/2019,15532.77,15247.70
8/31/2019,15572.70,15130.30
9/30/2019,15691.59,15298.24
10/31/2019,15638.00,15539.95
11/30/2019,15665.00,15738.87
12/31/2019,16015.00,16042.63
1/31/2020,15853.00,15999.31
2/29/2020,14890.00,15405.74
3/31/2020,13738.00,14259.55
4/30/2020,14391.00,15156.48
5/31/2020,14907.00,15562.67
6/30/2020,14999.00,15855.25
7/31/2020,15273.00,16307.12
8/31/2020,15465.00,16820.80
9/30/2020,15224.00,16548.30
10/31/2020,14977.00,16359.65
11/30/2020,16102.00,17387.03
12/31/2020,16593.00,17804.32
