Date,MAP Global Balanced Composite (Net),Benchmark
7/31/2001,10000.00,10000.00
8/31/2001,9591.00,9723.00
9/30/2001,9227.50,9395.33
10/31/2001,9477.57,9532.51
11/30/2001,9890.79,9896.65
12/31/2001,10090.58,9942.17
1/31/2002,9979.59,9875.56
2/28/2002,9798.96,9798.53
3/31/2002,9902.82,9962.17
4/30/2002,9885.00,9726.06
5/31/2002,9881.05,9716.34
6/30/2002,9680.46,9406.39
7/31/2002,9505.24,9095.98
8/31/2002,9508.10,9152.37
9/30/2002,9347.41,8699.33
10/31/2002,9340.87,9082.10
11/30/2002,9504.33,9368.18
12/31/2002,9529.04,9153.65
1/31/2003,9533.81,9049.30
2/28/2003,9570.99,9016.72
3/31/2003,9533.66,9074.43
4/30/2003,9772.00,9467.35
5/31/2003,10015.33,9754.21
6/30/2003,10204.62,9828.35
7/31/2003,10176.04,9881.42
8/31/2003,10209.62,9981.22
9/30/2003,10312.74,9989.21
10/31/2003,10500.43,10252.92
11/30/2003,10584.44,10294.96
12/31/2003,10949.60,10601.75
1/31/2004,11018.58,10715.19
2/29/2004,11148.60,10820.20
3/31/2004,11092.86,10760.69
4/30/2004,11096.19,10591.74
5/31/2004,11129.47,10654.23
6/30/2004,11267.48,10756.51
7/31/2004,11170.58,10604.85
8/31/2004,11247.66,10668.48
9/30/2004,11373.63,10725.02
10/31/2004,11405.48,10827.98
11/30/2004,11674.65,11018.55
12/31/2004,11839.26,11222.40
1/31/2005,11720.87,11085.48
2/28/2005,12033.81,11188.58
3/31/2005,11945.97,11085.64
4/30/2005,11906.54,11015.80
5/31/2005,12068.47,11215.19
6/30/2005,12341.22,11238.74
7/31/2005,12568.30,11435.42
8/31/2005,12700.27,11422.84
9/30/2005,12959.35,11454.82
10/31/2005,12623.70,11358.60
11/30/2005,12694.40,11591.45
12/31/2005,12845.46,11616.96
1/31/2006,13402.57,11783.08
2/28/2006,13347.23,11806.64
3/31/2006,13608.44,11891.65
4/30/2006,13934.64,11991.54
5/31/2006,13626.27,11827.26
6/30/2006,13695.36,11847.36
7/31/2006,13912.72,11931.48
8/31/2006,14043.08,12120.00
9/30/2006,14058.12,12310.28
10/31/2006,14355.73,12539.25
11/30/2006,14661.09,12694.74
12/31/2006,14896.70,12791.22
1/31/2007,15045.22,12905.06
2/28/2007,14940.97,12835.37
3/31/2007,15251.30,12932.92
4/30/2007,15653.48,13244.61
5/31/2007,15903.47,13469.77
6/30/2007,16003.20,13384.91
7/31/2007,15721.07,13220.27
8/31/2007,15690.73,13359.08
9/30/2007,16236.31,13648.98
10/31/2007,16422.55,13793.66
11/30/2007,16233.20,13581.23
12/31/2007,16281.42,13547.28
1/31/2008,15740.40,13253.30
