Date,% Increase in Price of Gold,Growth of US M1 Money Supply
1/1/1973,0.00,0.00
1/31/1973,1.92,0.92
2/28/1973,16.10,1.20
3/31/1973,32.01,1.00
4/30/1973,41.61,1.40
5/31/1973,59.54,2.29
6/30/1973,87.95,3.01
7/31/1973,88.03,3.33
8/31/1973,67.05,3.41
9/30/1973,61.12,3.49
10/31/1973,56.60,3.93
11/30/1973,48.36,4.74
12/31/1973,66.98,5.50
1/31/1974,102.14,5.86
2/28/1974,135.06,6.46
3/31/1974,163.53,7.02
4/30/1974,169.50,7.22
5/31/1974,155.47,7.38
6/30/1974,141.12,7.74
7/31/1974,123.72,8.07
8/31/1974,141.97,8.39
9/30/1974,137.47,8.75
10/31/1974,148.44,9.27
11/30/1974,184.24,9.83
12/31/1974,187.67,10.03
1/31/1975,175.07,9.91
2/28/1975,184.38,10.35
3/31/1975,178.77,10.91
4/30/1975,161.30,10.83
5/31/1975,161.30,12.04
6/30/1975,160.13,13.32
7/31/1975,160.84,13.84
8/31/1975,150.04,14.00
9/30/1975,121.01,14.65
10/31/1975,123.60,14.53
11/30/1975,116.16,15.09
12/31/1975,119.45,15.21
1/31/1976,100.52,15.73
2/29/1976,107.01,16.69
3/31/1976,102.79,17.46
4/30/1976,100.91,18.26
5/31/1976,96.37,18.74
6/30/1976,93.71,18.86
7/31/1976,76.03,19.26
8/31/1976,62.73,19.98
9/30/1976,81.51,20.22
10/31/1976,92.69,21.19
11/30/1976,103.80,21.83
12/31/1976,110.45,22.87
1/31/1977,107.01,23.72
2/28/1977,123.36,25.00
3/31/1977,132.98,25.96
4/30/1977,130.40,26.81
5/31/1977,123.67,27.29
6/30/1977,123.75,27.93
7/31/1977,125.47,28.49
8/31/1977,128.45,29.33
9/30/1977,141.04,30.22
10/31/1977,152.70,30.98
11/30/1977,150.43,31.86
12/31/1977,158.10,32.78
1/31/1978,175.00,34.19
2/28/1978,185.17,34.55
3/31/1978,184.15,35.23
4/30/1978,167.33,36.40
5/31/1978,188.14,38.40
6/30/1978,186.42,39.21
7/31/1978,213.33,39.49
8/31/1978,226.55,40.29
9/30/1978,239.70,41.33
10/31/1978,279.60,41.77
11/30/1978,202.61,42.62
12/31/1978,253.62,43.38
1/31/1979,265.67,43.90
2/28/1979,293.21,44.42
3/31/1979,275.68,45.47
4/30/1979,283.82,47.67
5/31/1979,329.67,48.31
6/30/1979,334.20,49.84
7/31/1979,363.86,51.36
8/31/1979,393.04,52.01
9/30/1979,521.58,52.21
10/31/1979,497.72,52.81
11/30/1979,550.37,52.81
12/31/1979,701.13,53.21
1/31/1980,921.75,54.82
2/29/1980,896.71,56.54
