Date,Inflation-Adjusted Value of USD,Inflation-Adjusted Value of Gold
1/1/1973,1.0000,1.0000
1/31/1973,0.9971,1.0162
2/28/1973,0.9939,1.1539
3/31/1973,0.9902,1.3072
4/30/1973,0.9861,1.3963
5/31/1973,0.9817,1.5661
6/30/1973,0.9769,1.8361
7/31/1973,0.9724,1.8284
8/31/1973,0.9667,1.6148
9/30/1973,0.9609,1.5482
10/31/1973,0.9549,1.4954
11/30/1973,0.9486,1.4074
12/31/1973,0.9420,1.5730
1/31/1974,0.9350,1.8900
2/28/1974,0.9276,2.1805
3/31/1974,0.9200,2.4244
4/30/1974,0.9126,2.4596
5/31/1974,0.9049,2.3118
6/30/1974,0.8972,2.1633
7/31/1974,0.8891,1.9890
8/31/1974,0.8814,2.1328
9/30/1974,0.8732,2.0737
10/31/1974,0.8649,2.1489
11/30/1974,0.8567,2.4351
12/31/1974,0.8484,2.4407
1/31/1975,0.8406,2.3123
2/28/1975,0.8332,2.3695
3/31/1975,0.8264,2.3038
4/30/1975,0.8198,2.1421
5/31/1975,0.8136,2.1259
6/30/1975,0.8075,2.1006
7/31/1975,0.8013,2.0901
8/31/1975,0.7958,1.9898
9/30/1975,0.7908,1.7478
10/31/1975,0.7861,1.7577
11/30/1975,0.7814,1.6892
12/31/1975,0.7771,1.7053
1/31/1976,0.7729,1.5498
2/29/1976,0.7690,1.5919
3/31/1976,0.7652,1.5517
4/30/1976,0.7615,1.5299
5/31/1976,0.7577,1.4879
6/30/1976,0.7540,1.4606
7/31/1976,0.7507,1.3215
8/31/1976,0.7473,1.2160
9/30/1976,0.7439,1.3503
10/31/1976,0.7406,1.4271
11/30/1976,0.7377,1.5034
12/31/1976,0.7347,1.5463
1/31/1977,0.7316,1.5146
2/28/1977,0.7282,1.6264
3/31/1977,0.7244,1.6877
4/30/1977,0.7203,1.6597
5/31/1977,0.7164,1.6025
6/30/1977,0.7125,1.5942
7/31/1977,0.7086,1.5977
8/31/1977,0.7048,1.6101
9/30/1977,0.7011,1.6899
10/31/1977,0.6975,1.7625
11/30/1977,0.6937,1.7372
12/31/1977,0.6900,1.7808
1/31/1978,0.6862,1.8870
2/28/1978,0.6826,1.9467
3/31/1978,0.6790,1.9294
4/30/1978,0.6755,1.8057
5/31/1978,0.6717,1.9353
6/30/1978,0.6677,1.9124
7/31/1978,0.6636,2.0792
8/31/1978,0.6594,2.1534
9/30/1978,0.6551,2.2252
10/31/1978,0.6504,2.4690
11/30/1978,0.6458,1.9543
12/31/1978,0.6412,2.2674
1/31/1979,0.6365,2.3274
2/28/1979,0.6315,2.4830
3/31/1979,0.6264,2.3534
4/30/1979,0.6212,2.3845
5/31/1979,0.6159,2.6464
6/30/1979,0.6106,2.6514
7/31/1979,0.6052,2.8073
8/31/1979,0.5996,2.9563
9/30/1979,0.5939,3.6914
10/31/1979,0.5883,3.5161
11/30/1979,0.5825,3.7882
12/31/1979,0.5764,4.6180
1/31/1980,0.5702,5.8262
2/29/1980,0.5639,5.6209
3/31/1980,0.5575,4.3136
4/30/1980,0.5512,4.4672
5/31/1980,0.5450,4.5666
6/30/1980,0.5389,5.5108
7/31/1980,0.5334,5.1269
8/31/1980,0.5281,5.2158
9/30/1980,0.5229,5.4549
10/31/1980,0.5177,5.0947
11/30/1980,0.5126,4.9704
12/31/1980,0.5076,4.6836
1/31/1981,0.5029,3.9852
2/28/1981,0.4984,3.8131
3/31/1981,0.4942,3.9729
4/30/1981,0.4903,3.7036
5/31/1981,0.4865,3.6482
6/30/1981,0.4828,3.2182
7/31/1981,0.4787,3.0410
8/31/1981,0.4746,3.1599
9/30/1981,0.4705,3.1565
10/31/1981,0.4668,3.1185
11/30/1981,0.4632,3.0042
12/31/1981,0.4599,2.8606
1/31/1982,0.4568,2.7664
2/28/1982,0.4541,2.5762
3/31/1982,0.4516,2.2611
4/30/1982,0.4492,2.5392
5/31/1982,0.4468,2.2738
6/30/1982,0.4442,2.2070
7/31/1982,0.4420,2.3713
8/31/1982,0.4399,2.8321
9/30/1982,0.4381,2.7212
10/31/1982,0.4363,2.8891
11/30/1982,0.4346,2.9650
12/31/1982,0.4333,3.0975
1/31/1983,0.4320,3.3761
2/28/1983,0.4307,2.7531
3/31/1983,0.4295,2.7870
4/30/1983,0.4281,2.8753
5/31/1983,0.4269,2.9221
6/30/1983,0.4260,2.7726
7/31/1983,0.4251,2.8068
8/31/1983,0.4242,2.7494
9/30/1983,0.4232,2.6816
10/31/1983,0.4222,2.5233
11/30/1983,0.4210,2.6680
12/31/1983,0.4197,2.5113
1/31/1984,0.4183,2.4461
2/29/1984,0.4167,2.5706
3/31/1984,0.4151,2.5232
4/30/1984,0.4135,2.4316
5/31/1984,0.4121,2.4778
6/30/1984,0.4107,2.3973
7/31/1984,0.4093,2.1925
8/31/1984,0.4079,2.2225
9/30/1984,0.4064,2.1861
10/31/1984,0.4050,2.1135
11/30/1984,0.4037,2.0780
12/31/1984,0.4024,1.9454
1/31/1985,0.4012,1.9251
2/28/1985,0.4001,1.8013
3/31/1985,0.3989,2.0549
4/30/1985,0.3977,1.9995
5/31/1985,0.3964,1.9477
6/30/1985,0.3952,1.9648
7/31/1985,0.3940,2.0192
8/31/1985,0.3930,2.0491
9/30/1985,0.3920,2.0025
10/31/1985,0.3909,1.9886
11/30/1985,0.3898,1.9842
12/31/1985,0.3886,1.9871
1/31/1986,0.3874,2.1245
2/28/1986,0.3864,2.0444
3/31/1986,0.3857,2.0758
4/30/1986,0.3851,2.0836
5/31/1986,0.3847,2.0657
6/30/1986,0.3841,2.0765
7/31/1986,0.3836,2.1457
8/31/1986,0.3831,2.3059
9/30/1986,0.3825,2.5329
10/31/1986,0.3820,2.3971
11/30/1986,0.3816,2.2900
12/31/1986,0.3813,2.3193
1/31/1987,0.3808,2.3864
2/28/1987,0.3802,2.4141
3/31/1987,0.3792,2.4940
4/30/1987,0.3780,2.6811
5/31/1987,0.3768,2.6593
6/30/1987,0.3757,2.6295
7/31/1987,0.3745,2.7102
8/31/1987,0.3732,2.6475
9/30/1987,0.3719,2.6735
10/31/1987,0.3705,2.7177
11/30/1987,0.3691,2.8446
12/31/1987,0.3678,2.7861
1/31/1988,0.3666,2.6273
2/29/1988,0.3654,2.4368
3/31/1988,0.3643,2.6046
4/30/1988,0.3631,2.5511
5/31/1988,0.3620,2.5798
6/30/1988,0.3608,2.4644
7/31/1988,0.3596,2.4576
8/31/1988,0.3584,2.3988
9/30/1988,0.3572,2.2227
10/31/1988,0.3560,2.2969
11/30/1988,0.3547,2.3457
12/31/1988,0.3535,2.2690
1/31/1989,0.3521,2.1708
2/28/1989,0.3507,2.1239
3/31/1989,0.3493,2.0945
4/30/1989,0.3479,2.0551
5/31/1989,0.3464,1.9607
6/30/1989,0.3449,2.0129
7/31/1989,0.3435,1.9795
8/31/1989,0.3422,1.9264
9/30/1989,0.3410,1.9554
10/31/1989,0.3397,1.9950
11/30/1989,0.3384,2.1614
12/31/1989,0.3372,2.1169
1/31/1990,0.3358,2.1805
2/28/1990,0.3343,2.1327
3/31/1990,0.3329,1.9195
4/30/1990,0.3316,1.9082
5/31/1990,0.3304,1.8771
6/30/1990,0.3292,1.8141
7/31/1990,0.3279,1.9101
8/31/1990,0.3264,1.9804
9/30/1990,0.3248,2.0754
10/31/1990,0.3231,1.9187
11/30/1990,0.3215,1.9359
12/31/1990,0.3199,1.9161
1/31/1991,0.3184,1.8236
2/28/1991,0.3171,1.7994
3/31/1991,0.3158,1.7574
4/30/1991,0.3145,1.7607
5/31/1991,0.3133,1.7666
6/30/1991,0.3121,1.7986
7/31/1991,0.3110,1.7654
8/31/1991,0.3100,1.6850
9/30/1991,0.3091,1.7166
10/31/1991,0.3084,1.7248
11/30/1991,0.3076,1.7632
12/31/1991,0.3069,1.6956
1/31/1992,0.3062,1.6965
2/29/1992,0.3055,1.6909
3/31/1992,0.3047,1.6290
4/30/1992,0.3039,1.5993
5/31/1992,0.3031,1.6009
6/30/1992,0.3024,1.6247
7/31/1992,0.3016,1.6886
8/31/1992,0.3008,1.6097
9/30/1992,0.3001,1.6433
10/31/1992,0.2993,1.5969
11/30/1992,0.2986,1.5696
12/31/1992,0.2978,1.5589
1/31/1993,0.2970,1.5454
2/28/1993,0.2963,1.5274
3/31/1993,0.2955,1.5675
4/30/1993,0.2947,1.6417
5/31/1993,0.2940,1.7237
6/30/1993,0.2932,1.7348
7/31/1993,0.2926,1.8645
8/31/1993,0.2919,1.6994
9/30/1993,0.2912,1.6196
10/31/1993,0.2906,1.6800
11/30/1993,0.2899,1.6817
12/31/1993,0.2893,1.7685
1/31/1994,0.2887,1.7251
2/28/1994,0.2881,1.7209
3/31/1994,0.2875,1.7589
4/30/1994,0.2869,1.6928
5/31/1994,0.2864,1.7356
6/30/1994,0.2858,1.7275
7/31/1994,0.2851,1.7115
8/31/1994,0.2845,1.7208
9/30/1994,0.2838,1.7505
10/31/1994,0.2832,1.7036
11/30/1994,0.2825,1.6861
12/31/1994,0.2819,1.6903
1/31/1995,0.2813,1.6508
2/28/1995,0.2806,1.6556
3/31/1995,0.2799,1.7143
4/30/1995,0.2792,1.6912
5/31/1995,0.2785,1.6745
6/30/1995,0.2778,1.6717
7/31/1995,0.2772,1.6592
8/31/1995,0.2766,1.6563
9/30/1995,0.2760,1.6583
10/31/1995,0.2754,1.6502
11/30/1995,0.2748,1.6673
12/31/1995,0.2742,1.6609
1/31/1996,0.2736,1.7394
2/29/1996,0.2730,1.7118
3/31/1996,0.2724,1.6853
4/30/1996,0.2717,1.6651
5/31/1996,0.2711,1.6584
6/30/1996,0.2704,1.6099
7/31/1996,0.2698,1.6338
8/31/1996,0.2691,1.6276
9/30/1996,0.2685,1.5896
10/31/1996,0.2678,1.5842
11/30/1996,0.2671,1.5532
12/31/1996,0.2664,1.5325
1/31/1997,0.2657,1.4317
2/28/1997,0.2651,1.5074
3/31/1997,0.2645,1.4534
4/30/1997,0.2639,1.4019
5/31/1997,0.2634,1.4206
6/30/1997,0.2629,1.3739
7/31/1997,0.2625,1.3328
8/31/1997,0.2620,1.3288
9/30/1997,0.2615,1.3685
10/31/1997,0.2611,1.2722
11/30/1997,0.2607,1.2114
