Date,HRSTX,S&P 500 TR Index
12/5/2017,10000.00,10000.00
12/31/2017,10092.00,10179.00
1/31/2018,10152.68,10761.79
2/28/2018,10294.24,10365.15
3/31/2018,10294.24,10101.73
4/30/2018,10375.13,10140.49
5/31/2018,10435.81,10384.70
6/30/2018,10496.49,10448.61
7/31/2018,10678.51,10837.45
8/31/2018,10840.29,11190.58
9/30/2018,11002.09,11254.28
10/31/2018,11002.09,10485.05
11/30/2018,11062.77,10698.71
12/31/2018,11066.75,9732.73
1/31/2019,11148.72,10512.66
2/28/2019,11230.70,10850.20
3/31/2019,11333.17,11061.04
4/30/2019,11456.13,11508.89
5/31/2019,11456.13,10777.52
6/30/2019,11599.59,11537.09
7/31/2019,11743.05,11702.91
8/31/2019,11722.56,11517.52
9/30/2019,11804.54,11733.02
10/31/2019,11825.58,11987.15
11/30/2019,11906.97,12422.27
12/31/2019,11991.26,12797.21
1/31/2020,11991.26,12792.19
2/29/2020,12013.06,11739.16
3/31/2020,12033.40,10289.21
4/30/2020,12117.70,11608.23
5/31/2020,12203.44,12161.10
6/30/2020,12181.64,12402.96
7/31/2020,12203.44,13102.30
8/31/2020,12287.73,14044.09
9/30/2020,12139.50,13510.46
10/31/2020,12181.64,13151.08
11/30/2020,12223.79,14591.12
12/31/2020,12308.08,15151.42
