Date,HSU,S&P
10/16/2017,10000.00,10000.00
10/31/2017,10243.00,10072.00
11/30/2017,10486.30,10380.90
12/31/2017,10544.85,10496.32
1/31/2018,11269.99,11097.28
2/28/2018,11058.49,10688.28
3/31/2018,10756.35,10416.64
4/30/2018,10937.64,10456.61
5/31/2018,11239.78,10708.43
6/30/2018,11390.85,10774.34
7/31/2018,11602.35,11175.30
8/31/2018,12116.00,11539.44
9/30/2018,12200.60,11605.12
10/31/2018,11327.40,10811.91
11/30/2018,11197.48,11032.24
12/31/2018,10620.53,10036.14
1/31/2019,11145.34,10840.38
2/28/2019,11455.89,11188.45
3/31/2019,11660.84,11405.86
4/30/2019,12182.55,11867.67
5/31/2019,11347.20,11113.51
6/30/2019,12039.70,11896.75
7/31/2019,12353.35,12067.74
8/31/2019,12362.67,11876.57
9/30/2019,12281.93,12098.79
10/31/2019,12626.36,12360.84
11/30/2019,13095.42,12809.53
12/31/2019,13490.90,13196.15
1/31/2020,13693.24,13190.98
2/29/2020,12783.66,12105.11
3/31/2020,11633.77,10609.97
4/30/2020,13213.57,11970.10
5/31/2020,14372.66,12540.21
6/30/2020,15254.17,12789.61
7/31/2020,16425.76,13510.76
8/31/2020,17762.42,14481.91
9/30/2020,17472.59,13931.63
10/31/2020,17104.94,13561.16
11/30/2020,18871.51,15045.61
12/31/2020,19599.03,15624.09
