Date,MSCI All Country World Index,CBOE Eurekahedge Long Volatility Hedge Fund Index,HFRI Macro Systematic Diversified Index,S&P Risk Parity Index
12/31/2004,100.00,100.00,100.00,100.00
1/31/2005,97.81,100.31,99.33,101.24
2/28/2005,101.04,100.63,102.67,103.92
3/31/2005,98.59,99.56,101.29,105.58
4/29/2005,96.20,98.96,99.53,105.10
5/31/2005,97.73,99.05,101.23,107.66
6/30/2005,98.57,100.61,102.76,110.26
7/29/2005,102.13,100.48,106.08,111.09
8/31/2005,102.70,99.84,108.01,114.23
9/30/2005,105.65,102.81,110.86,115.62
10/31/2005,102.74,100.43,108.41,111.70
11/30/2005,106.29,103.95,112.26,114.30
12/30/2005,108.83,105.21,114.40,119.27
1/31/2006,114.11,107.77,121.34,122.30
2/28/2006,113.78,108.08,121.17,119.81
3/31/2006,115.91,107.88,124.12,120.01
4/28/2006,119.57,111.02,126.93,122.02
5/31/2006,114.49,109.69,122.27,120.65
6/30/2006,114.27,106.95,122.14,119.83
7/31/2006,114.94,106.74,121.59,122.19
8/31/2006,117.68,105.39,122.73,124.41
9/29/2006,118.89,104.16,122.85,122.94
10/31/2006,123.28,104.37,126.52,125.07
11/30/2006,126.54,104.69,130.71,129.56
12/29/2006,129.26,105.94,133.69,126.76
1/31/2007,130.47,105.54,134.29,125.84
2/28/2007,129.61,105.30,133.19,129.51
3/30/2007,131.91,105.96,133.33,129.09
4/30/2007,137.47,105.08,137.35,130.74
5/31/2007,141.12,106.31,140.69,130.24
6/29/2007,140.51,107.59,140.35,129.45
7/31/2007,138.25,109.49,138.37,132.27
8/31/2007,137.60,110.43,134.85,133.54
9/28/2007,144.78,110.78,143.21,139.63
10/31/2007,150.30,113.68,152.41,142.90
11/30/2007,143.43,114.92,145.69,144.12
12/31/2007,141.73,115.79,147.54,146.18
1/31/2008,130.02,119.36,151.66,147.84
2/29/2008,130.19,123.25,161.50,155.35
3/31/2008,127.93,126.05,160.26,150.14
4/30/2008,134.72,119.76,158.53,150.67
5/30/2008,136.28,123.42,161.29,149.68
6/30/2008,124.91,126.12,165.00,150.62
7/31/2008,121.52,131.57,158.91,148.81
8/29/2008,118.66,138.76,157.76,147.93
9/30/2008,103.61,149.85,158.46,137.54
10/31/2008,82.99,148.05,167.79,117.85
11/28/2008,77.34,153.51,171.06,122.00
12/31/2008,80.02,168.83,174.21,126.75
1/30/2009,73.11,170.67,173.39,119.56
2/27/2009,65.78,170.51,173.04,115.88
3/31/2009,71.01,168.93,169.48,122.03
4/30/2009,79.16,170.56,167.28,123.91
5/29/2009,86.70,172.23,171.81,129.02
6/30/2009,86.07,170.87,169.08,129.40
7/31/2009,93.54,170.96,168.93,133.43
8/31/2009,96.69,171.46,170.48,135.99
9/30/2009,100.95,173.93,173.40,138.34
10/30/2009,99.32,173.79,170.55,138.81
11/30/2009,103.22,177.60,176.38,143.93
12/31/2009,105.24,173.86,171.27,142.95
1/29/2010,100.64,174.33,166.11,140.97
2/26/2010,101.75,175.62,167.03,143.71
3/31/2010,108.04,173.25,170.77,145.52
4/30/2010,108.02,175.81,171.96,148.77
5/31/2010,97.42,181.14,169.23,146.49
6/30/2010,94.28,183.92,169.18,148.99
7/30/2010,101.84,184.02,168.15,154.71
8/31/2010,98.08,187.28,173.33,157.87
9/30/2010,107.25,190.07,178.46,164.22
10/29/2010,111.05,191.20,184.38,167.59
11/30/2010,108.39,190.53,179.53,166.56
12/31/2010,116.21,195.35,187.97,171.17
1/31/2011,117.95,193.94,185.90,172.08
2/28/2011,121.19,195.09,188.82,176.10
3/31/2011,120.78,199.61,185.40,175.33
4/29/2011,125.44,202.53,192.97,180.69
5/31/2011,122.28,200.37,186.12,180.35
6/30/2011,120.14,199.82,181.63,178.26
7/29/2011,118.06,203.33,187.55,184.73
8/31/2011,109.17,212.18,188.66,187.43
9/30/2011,98.64,214.37,188.11,180.81
10/31/2011,109.10,212.29,181.85,187.38
11/30/2011,105.60,217.37,180.94,185.01
