Date,MSCI All Country World Index,HFRI Macro Systematic Diversified Index
12/31/1989,10000.00,10000.00
1/31/1990,9522.82,10203.00
2/28/1990,9105.83,10150.96
3/30/1990,8526.19,10453.46
4/30/1990,8400.09,10360.43
5/31/1990,9259.87,10686.78
6/29/1990,9179.62,10881.28
7/31/1990,9254.14,10986.83
8/31/1990,8364.98,11048.36
9/28/1990,7471.52,10799.77
10/31/1990,8140.72,10755.49
11/30/1990,7984.52,11001.79
12/31/1990,8136.42,11351.65
1/31/1991,8418.71,11557.11
2/28/1991,9191.09,12035.57
3/29/1991,8915.96,12263.05
4/30/1991,8971.13,12319.46
5/31/1991,9166.73,12554.76
6/28/1991,8589.24,12392.80
7/31/1991,8980.44,12767.07
8/30/1991,8943.18,13160.29
9/30/1991,9152.40,13127.39
10/31/1991,9292.83,13439.82
11/29/1991,8873.68,13251.66
12/31/1991,9513.51,13979.18
1/31/1992,9352.30,14109.19
2/28/1992,9191.80,14092.26
3/31/1992,8763.34,14042.93
4/30/1992,8860.79,13954.46
5/29/1992,9180.34,14204.25
6/30/1992,8832.84,14134.65
7/31/1992,8840.73,14386.24
8/31/1992,9018.41,14114.34
9/30/1992,8922.40,14069.18
10/30/1992,8685.25,14319.61
11/30/1992,8811.35,14776.40
12/31/1992,8875.83,15061.59
1/29/1993,8889.45,15236.30
2/26/1993,9080.03,15446.56
3/31/1993,9583.00,15979.47
4/30/1993,9997.85,16401.33
5/31/1993,10212.80,17101.67
6/30/1993,10127.53,17236.77
7/30/1993,10318.12,17545.31
8/31/1993,10788.85,17722.51
9/30/1993,10589.67,17821.76
10/29/1993,10884.86,18331.46
11/30/1993,10300.21,18038.16
12/31/1993,10839.01,18703.77
1/31/1994,11539.01,19053.53
2/28/1994,11354.16,18920.15
3/31/1994,10823.96,18696.90
4/29/1994,11098.37,18659.50
5/31/1994,11144.23,18547.54
6/30/1994,11069.71,18286.02
7/29/1994,11296.12,18532.89
8/31/1994,11678.73,19137.06
9/30/1994,11384.25,19248.05
10/31/1994,11655.80,19488.65
11/30/1994,11129.18,19169.04
12/30/1994,11148.53,19356.90
1/31/1995,10901.34,19252.37
2/28/1995,10997.35,19466.07
3/31/1995,11478.83,19678.25
4/28/1995,11874.33,19892.74
5/31/1995,11982.52,20402.00
6/30/1995,11963.17,20677.42
7/31/1995,12519.88,21225.38
8/31/1995,12223.97,21223.25
9/29/1995,12538.51,21443.98
10/31/1995,12307.80,21319.60
11/30/1995,12673.21,21613.81
12/29/1995,13032.89,21791.04
1/31/1996,13300.85,22501.43
2/29/1996,13333.09,22789.45
3/29/1996,13515.80,22798.57
4/30/1996,13821.02,23432.37
5/31/1996,13810.99,23760.42
6/28/1996,13862.58,23608.35
7/31/1996,13321.63,23225.90
8/30/1996,13462.06,23479.06
9/30/1996,13936.38,24263.26
10/31/1996,13970.05,24454.94
11/29/1996,14693.70,25054.09
12/31/1996,14457.26,24725.88
1/31/1997,14677.94,25180.83
2/28/1997,14855.63,24989.46
3/31/1997,14533.21,24479.67
4/30/1997,14973.85,24430.72
5/30/1997,15842.23,25422.60
6/30/1997,16628.22,25999.70
7/31/1997,17356.17,27128.08
8/29/1997,16115.21,26989.73
9/30/1997,16950.63,28018.04
10/31/1997,15918.18,27659.41
11/28/1997,16139.57,27645.58
12/31/1997,16327.29,28082.38
1/30/1998,16664.04,27877.38
2/27/1998,17780.33,28610.55
3/31/1998,18513.29,29237.12
4/30/1998,18661.60,29877.42
5/29/1998,18280.43,29453.16
6/30/1998,18585.66,30451.62
7/31/1998,18565.59,30448.57
8/31/1998,15938.24,30649.53
9/30/1998,16230.57,30530.00
10/30/1998,17687.90,32193.88
11/30/1998,18738.27,33929.14
12/31/1998,19581.57,35052.19
1/29/1999,19957.73,36773.25
2/26/1999,19431.83,35673.73
3/31/1999,20279.43,37200.57
4/30/1999,21130.62,38748.11
5/31/1999,20356.09,37663.16
6/30/1999,21343.41,39282.68
7/30/1999,21230.21,39667.65
8/31/1999,21179.34,40147.63
9/30/1999,20925.70,40115.51
10/29/1999,21960.31,41058.23
11/30/1999,22618.04,42084.68
12/31/1999,24477.32,44226.79
1/31/2000,23130.33,44912.31
2/29/2000,23184.78,47589.08
3/31/2000,24682.95,48583.69
4/28/2000,23549.47,47286.51
5/31/2000,22911.80,47981.62
6/30/2000,23659.10,48715.74
7/31/2000,22939.03,48106.79
8/31/2000,23626.85,49732.80
9/29/2000,22304.94,48643.65
10/31/2000,21845.67,48828.50
11/30/2000,20468.58,47881.23
12/29/2000,20785.99,49442.15
1/31/2001,21298.99,49605.31
2/28/2001,19486.28,47978.26
3/30/2001,18135.70,46999.50
4/30/2001,19423.23,48785.48
5/31/2001,19156.70,49302.61
6/29/2001,18545.53,49652.66
7/31/2001,18237.44,48942.62
8/31/2001,17368.35,48252.53
9/28/2001,15759.83,47731.41
10/31/2001,16083.69,49120.39
11/30/2001,17052.38,50402.43
12/31/2001,17197.82,51465.92
1/31/2002,16712.76,50781.43
2/28/2002,16565.88,50928.69
3/29/2002,17279.50,51875.97
4/30/2002,16703.45,51087.45
5/31/2002,16681.24,50642.99
6/28/2002,15637.31,49944.12
7/31/2002,14310.38,49329.81
8/30/2002,14318.98,49773.77
9/30/2002,12726.95,49664.27
10/31/2002,13648.35,50006.95
11/29/2002,14372.72,51022.10
12/31/2002,13670.56,49787.36
1/31/2003,13257.15,49364.17
2/28/2003,13004.94,49225.95
3/31/2003,12911.08,49196.41
