Date,MSCI All Country World Index,S&P Risk Parity Index
1/31/2004,10000.00,10000.00
2/27/2004,10168.89,10527.29
3/31/2004,10087.38,10809.15
4/30/2004,9832.68,10381.47
5/31/2004,9885.58,10432.90
6/30/2004,10066.22,10314.22
7/30/2004,9735.50,10336.80
8/31/2004,9777.04,10622.66
9/30/2004,9967.48,10844.85
10/29/2004,10202.98,11018.88
11/30/2004,10743.34,11122.80
12/31/2004,11148.90,11148.97
1/31/2005,10905.17,11287.13
2/28/2005,11265.28,11586.43
3/31/2005,10991.77,11771.30
4/29/2005,10724.92,11717.26
5/31/2005,10896.16,12003.44
6/30/2005,10989.03,12292.96
7/29/2005,11385.97,12385.64
8/31/2005,11449.84,12735.81
9/30/2005,11779.00,12890.19
10/31/2005,11454.55,12453.38
11/30/2005,11850.71,12742.98
12/30/2005,12132.84,13297.17
1/31/2006,12721.79,13634.70
2/28/2006,12685.74,13357.08
3/31/2006,12922.81,13380.15
4/28/2006,13330.33,13603.97
5/31/2006,12764.11,13451.22
6/30/2006,12739.42,13359.69
7/31/2006,12815.05,13622.80
8/31/2006,13119.51,13870.51
9/29/2006,13255.49,13706.84
10/31/2006,13744.12,13943.79
11/30/2006,14108.15,14444.18
12/29/2006,14411.44,14131.92
1/31/2007,14545.45,14030.03
2/28/2007,14450.63,14439.45
3/30/2007,14706.11,14391.77
4/30/2007,15326.80,14575.66
5/31/2007,15733.54,14520.96
6/29/2007,15665.75,14431.79
7/31/2007,15413.01,14747.24
8/31/2007,15340.52,14888.41
9/28/2007,16141.07,15567.07
10/31/2007,16756.66,15932.07
11/30/2007,15991.38,16068.27
12/31/2007,15801.33,16297.40
1/31/2008,14495.69,16482.92
2/29/2008,14514.50,17320.35
3/31/2008,14262.93,16738.94
4/30/2008,15019.59,16797.79
5/30/2008,15193.97,16688.32
6/30/2008,13926.33,16793.06
7/31/2008,13548.20,16591.32
8/29/2008,13229.23,16492.78
9/30/2008,11551.33,15334.76
10/31/2008,9251.96,13139.20
11/28/2008,8622.65,13601.94
12/31/2008,8921.63,14131.75
1/30/2009,8151.25,13329.94
2/27/2009,7334.25,12919.70
3/31/2009,7916.93,13604.55
4/30/2009,8826.02,13814.68
5/29/2009,9666.54,14383.95
6/30/2009,9596.39,14427.15
7/31/2009,10428.68,14876.27
8/31/2009,10779.78,15161.06
9/30/2009,11255.09,15423.28
10/30/2009,11073.28,15476.43
11/30/2009,11507.45,16046.84
12/31/2009,11733.54,15937.20
1/29/2010,11219.83,15716.23
2/26/2010,11344.04,16021.65
3/31/2010,12045.45,16223.63
4/30/2010,12043.50,16586.27
5/31/2010,10860.89,16332.04
6/30/2010,10511.36,16610.56
7/30/2010,11353.84,17249.11
8/31/2010,10934.95,17600.42
9/30/2010,11957.68,18308.42
10/29/2010,12380.49,18684.75
11/30/2010,12083.86,18570.15
12/31/2010,12956.11,19083.91
1/31/2011,13149.69,19185.31
2/28/2011,13511.76,19632.96
3/31/2011,13465.52,19547.54
4/29/2011,13985.11,20145.58
5/31/2011,13632.45,20106.70
6/30/2011,13394.20,19873.82
7/29/2011,13162.23,20595.68
8/31/2011,12171.63,20896.29
9/30/2011,10996.87,20158.37
10/31/2011,12163.40,20891.15
11/30/2011,11773.12,20627.14
12/30/2011,11736.29,20994.26
1/31/2012,12407.92,21592.38
2/29/2012,13006.66,22044.03
3/30/2012,13060.34,21858.92
4/30/2012,12878.92,21923.23
5/31/2012,11676.33,21425.37
6/29/2012,12230.02,21906.52
7/31/2012,12383.23,22773.87
8/31/2012,12623.04,23196.75
9/28/2012,12992.95,23265.87
10/31/2012,12894.59,22977.32
11/30/2012,13034.48,23369.31
12/31/2012,13313.09,23432.15
1/31/2013,13914.58,23599.33
2/28/2013,13888.32,23717.19
3/29/2013,14108.93,24193.62
4/30/2013,14475.71,24413.94
5/31/2013,14388.32,23736.84
6/28/2013,13942.40,22913.58
7/31/2013,14596.00,23393.68
8/30/2013,14262.54,23310.05
9/30/2013,14971.39,23828.37
10/31/2013,15560.74,24174.14
11/29/2013,15754.31,24320.78
12/31/2013,16009.01,24024.97
1/31/2014,15357.37,24391.04
2/28/2014,16070.92,25257.65
3/31/2014,16105.80,25318.79
4/30/2014,16226.10,25592.09
5/30/2014,16517.63,25899.71
6/30/2014,16800.55,26148.56
7/31/2014,16576.80,25760.25
8/29/2014,16910.27,26227.22
9/30/2014,16334.25,25741.99
10/31/2014,16436.13,26050.01
11/28/2014,16685.74,26294.30
12/31/2014,16344.83,25812.58
1/30/2015,16078.76,26234.88
2/27/2015,16946.32,26676.18
3/31/2015,16644.20,26625.72
4/30/2015,17096.39,26843.68
5/29/2015,17026.25,26757.77
6/30/2015,16595.22,26430.83
7/31/2015,16723.35,26108.46
8/31/2015,15545.85,25424.18
9/30/2015,14954.94,25142.24
10/30/2015,16114.81,25937.94
11/30/2015,15956.11,25556.23
12/31/2015,15648.90,24811.06
1/29/2016,14695.14,24793.78
2/29/2016,14563.48,24886.62
3/31/2016,15605.80,25534.05
4/29/2016,15804.86,26015.86
5/31/2016,15774.69,26461.97
6/30/2016,15646.16,27133.69
7/29/2016,16304.47,27233.71
8/31/2016,16324.84,27025.69
9/30/2016,16396.16,27296.14
10/31/2016,16105.41,26920.22
11/30/2016,16200.24,26687.83
12/30/2016,16529.78,27358.42
1/31/2017,16972.18,27313.83
2/28/2017,17417.71,28015.14
3/31/2017,17588.95,27840.63
4/28/2017,17835.82,28108.96
5/31/2017,18173.59,28282.01
6/30/2017,18224.53,27816.34
7/31/2017,18713.95,28296.19
8/31/2017,18746.47,28647.99
9/29/2017,19078.37,28643.51
10/31/2017,19460.03,29294.04
11/30/2017,19805.64,29428.21
12/29/2017,20103.06,29668.25
1/31/2018,21225.31,29539.96
2/28/2018,20300.94,29007.12
3/30/2018,19820.14,29075.92
4/30/2018,19972.18,29485.34
5/31/2018,19936.13,30131.97
6/29/2018,19796.24,29858.09
7/31/2018,20369.12,29859.56
8/31/2018,20489.03,29947.18
9/28/2018,20542.71,29962.75
10/31/2018,18987.85,29356.97
11/30/2018,19234.33,29430.81
12/31/2018,17855.02,28759.99
1/31/2019,19247.26,30058.12
2/28/2019,19728.84,30393.04
3/29/2019,19927.51,31151.82
4/30/2019,20565.83,31404.26
5/31/2019,19283.70,31215.07
6/28/2019,20510.97,32473.75
7/31/2019,20546.63,32627.07
8/30/2019,20018.81,32894.84
9/30/2019,20401.65,33278.59
10/31/2019,20940.83,33583.35
11/29/2019,21422.41,33661.19
12/31/2019,22148.90,34064.18
1/31/2020,21889.50,34019.60
2/28/2020,20092.48,33177.43
3/31/2020,17333.46,30345.85
4/30/2020,19168.10,30938.43
5/29/2020,19963.56,32305.92
6/30/2020,20568.57,33211.67
7/31/2020,21625.78,34170.55
8/31/2020,22917.71,34851.73
9/30/2020,22145.38,34519.01
10/31/2020,21590.91,33934.25
11/30/2020,24226.88,36151.82
12/31/2020,25324.06,37310.49
1/31/2021,25192.40,37403.49
2/28/2021,25750.39,37661.55
3/31/2021,26382.84,37667.34
