Date,Rational/ReSolve Adaptive Asset Allocation Fund,MSCI All Country World Index
11/30/2018,100.0,100.0
12/3/2018,100.6,101.4
12/4/2018,100.1,99.2
12/6/2018,101.4,97.6
12/7/2018,101.0,96.6
12/10/2018,100.7,95.8
12/11/2018,100.4,95.9
12/12/2018,99.7,97.0
12/13/2018,99.8,97.0
12/14/2018,99.9,95.5
12/17/2018,99.4,94.2
12/18/2018,100.0,93.9
12/19/2018,100.5,93.3
12/20/2018,100.1,91.9
12/21/2018,99.8,90.7
12/24/2018,99.9,89.2
12/26/2018,99.8,91.3
12/27/2018,100.7,91.8
12/28/2018,100.8,92.3
12/31/2018,101.5,93.0
1/2/2019,101.6,92.7
1/3/2019,103.2,91.4
1/4/2019,101.9,93.8
1/7/2019,101.5,94.7
1/8/2019,101.2,95.3
1/9/2019,101.0,96.2
1/10/2019,101.0,96.6
1/11/2019,101.3,96.6
1/14/2019,101.2,96.1
1/15/2019,101.2,96.9
1/16/2019,101.0,97.1
1/17/2019,100.8,97.5
1/18/2019,100.3,98.7
1/22/2019,101.0,97.7
1/23/2019,100.7,97.7
1/24/2019,101.7,98.0
1/25/2019,101.2,98.9
1/28/2019,101.4,98.3
1/29/2019,102.3,98.3
1/30/2019,102.9,99.4
1/31/2019,104.2,100.3
2/1/2019,103.1,100.4
2/4/2019,102.5,100.7
2/5/2019,103.1,101.3
2/6/2019,102.9,101.1
2/7/2019,103.9,100.2
2/8/2019,104.2,99.8
2/11/2019,103.5,99.9
2/12/2019,103.0,101.0
2/13/2019,102.8,101.3
2/14/2019,103.9,101.1
2/15/2019,104.1,101.8
2/19/2019,104.9,102.3
2/20/2019,104.6,102.8
2/21/2019,103.5,102.6
2/22/2019,104.5,103.1
2/25/2019,103.9,103.4
2/26/2019,104.4,103.4
2/27/2019,103.0,103.3
2/28/2019,102.5,103.0
3/1/2019,101.3,103.4
3/4/2019,101.9,103.2
3/5/2019,102.0,103.1
3/6/2019,102.2,102.7
3/7/2019,103.0,101.9
3/8/2019,103.4,101.3
3/11/2019,104.0,102.5
3/12/2019,105.0,103.0
3/13/2019,105.4,103.5
3/14/2019,104.8,103.5
3/15/2019,105.4,104.2
3/18/2019,104.9,104.7
3/19/2019,104.4,104.8
3/20/2019,105.9,104.4
3/21/2019,107.3,105.2
3/22/2019,107.8,103.6
3/25/2019,108.4,103.1
3/26/2019,109.2,103.8
3/27/2019,109.6,103.5
3/28/2019,110.1,103.6
3/29/2019,109.6,104.3
4/1/2019,108.4,105.5
4/2/2019,109.0,105.5
4/3/2019,108.4,106.1
4/4/2019,108.4,106.1
4/5/2019,109.1,106.5
4/8/2019,108.5,106.6
4/9/2019,108.3,106.3
4/10/2019,109.2,106.5
4/11/2019,108.8,106.4
4/12/2019,108.6,107.0
4/15/2019,108.3,107.0
4/16/2019,105.8,107.2
4/17/2019,104.9,107.1
4/18/2019,106.0,107.1
4/22/2019,104.8,107.1
4/23/2019,106.2,107.7
4/24/2019,106.6,107.4
4/25/2019,106.3,107.2
4/26/2019,107.3,107.5
4/29/2019,106.6,107.7
4/30/2019,107.6,107.8
5/1/2019,106.7,107.4
5/2/2019,105.9,107.0
5/3/2019,107.5,107.8
5/6/2019,107.3,107.1
5/7/2019,105.7,105.7
5/8/2019,105.2,105.5
5/9/2019,105.2,104.7
5/10/2019,105.9,105.1
5/13/2019,104.4,103.2
5/14/2019,105.1,103.7
5/15/2019,106.4,104.2
5/16/2019,106.6,104.9
5/17/2019,106.5,104.3
5/20/2019,105.4,103.8
5/21/2019,105.8,104.4
5/22/2019,106.1,104.2
5/23/2019,106.9,103.0
5/24/2019,106.8,103.3
5/28/2019,107.6,102.9
5/29/2019,107.4,102.0
5/30/2019,107.6,102.2
5/31/2019,108.9,101.4
6/3/2019,110.2,101.5
6/4/2019,109.8,102.9
6/5/2019,110.3,103.7
6/6/2019,110.7,104.0
6/7/2019,112.2,105.1
6/10/2019,110.9,105.6
6/11/2019,111.0,106.0
6/12/2019,111.1,105.7
6/13/2019,112.1,105.7
6/14/2019,112.1,105.4
6/17/2019,112.6,105.3
6/18/2019,113.7,106.4
6/19/2019,114.7,107.0
6/20/2019,116.1,108.2
6/21/2019,114.1,107.9
6/24/2019,115.0,108.0
6/25/2019,114.7,107.2
6/26/2019,112.9,107.1
6/27/2019,114.2,107.5
6/28/2019,114.6,108.0
7/1/2019,113.7,108.8
7/2/2019,115.6,109.0
7/3/2019,116.7,109.7
7/5/2019,114.4,109.3
7/8/2019,114.6,108.7
7/9/2019,114.4,108.6
7/10/2019,114.6,109.0
7/11/2019,113.0,109.3
7/12/2019,112.2,109.6
7/15/2019,113.3,109.7
7/16/2019,113.4,109.5
7/17/2019,113.7,109.0
7/18/2019,112.9,109.0
7/19/2019,113.5,108.9
7/22/2019,114.4,109.0
7/23/2019,115.7,109.5
7/24/2019,116.4,109.9
7/25/2019,115.9,109.4
7/26/2019,116.6,109.7
7/29/2019,117.9,109.5
7/30/2019,117.9,109.1
7/31/2019,118.5,108.4
8/1/2019,118.6,107.6
8/2/2019,117.8,106.3
8/5/2019,117.1,103.6
8/6/2019,117.1,104.2
8/7/2019,118.5,104.4
8/8/2019,118.8,106.0
8/9/2019,118.5,105.5
8/12/2019,118.9,104.6
8/13/2019,120.1,105.3
8/14/2019,119.8,103.1
8/15/2019,120.4,103.0
8/16/2019,120.5,104.2
8/19/2019,121.1,105.4
8/20/2019,121.3,104.8
8/21/2019,121.6,105.6
8/22/2019,120.3,105.3
8/23/2019,119.5,103.7
8/26/2019,120.1,104.0
8/27/2019,120.8,104.0
8/28/2019,122.4,104.4
8/29/2019,123.1,105.4
8/30/2019,123.2,105.8
9/3/2019,124.2,105.2
9/4/2019,123.2,106.4
9/5/2019,122.0,107.6
9/6/2019,123.1,107.9
9/9/2019,121.5,107.9
9/10/2019,120.9,107.9
9/11/2019,121.9,108.7
9/12/2019,121.9,109.1
9/13/2019,120.5,109.3
9/16/2019,121.7,108.9
9/17/2019,121.5,109.1
9/18/2019,122.4,109.1
9/19/2019,122.3,109.2
9/20/2019,122.5,108.9
9/23/2019,123.5,108.7
9/24/2019,122.9,108.1
9/25/2019,123.2,108.2
9/26/2019,123.8,108.2
9/27/2019,123.8,107.8
9/30/2019,124.3,108.0
10/1/2019,123.2,107.0
10/2/2019,121.3,105.3
10/3/2019,121.5,105.8
10/4/2019,122.5,106.8
10/7/2019,122.6,106.7
10/8/2019,122.5,105.5
10/9/2019,122.3,106.1
10/10/2019,121.3,106.7
10/11/2019,120.4,108.2
10/14/2019,121.3,108.1
10/15/2019,120.8,109.0
10/16/2019,120.8,109.0
10/17/2019,120.4,109.4
10/18/2019,119.7,109.0
10/21/2019,119.4,109.7
10/22/2019,120.1,109.6
10/23/2019,120.6,109.7
10/24/2019,121.3,110.1
10/25/2019,120.8,110.4
10/28/2019,120.1,110.9
10/29/2019,120.4,110.9
10/30/2019,121.5,111.1
10/31/2019,121.7,111.0
11/1/2019,121.6,111.9
11/4/2019,121.6,112.5
11/5/2019,120.8,112.5
11/6/2019,121.5,112.5
11/7/2019,120.4,112.9
11/8/2019,120.5,112.8
11/11/2019,120.3,112.6
11/12/2019,120.5,112.8
11/13/2019,121.5,112.6
11/14/2019,122.3,112.5
11/15/2019,123.0,113.3
11/18/2019,122.8,113.5
11/19/2019,123.3,113.5
11/20/2019,123.3,113.0
11/21/2019,122.0,112.7
11/22/2019,123.0,112.9
11/25/2019,124.1,113.8
11/26/2019,125.3,113.9
11/27/2019,125.8,114.3
11/29/2019,124.5,113.7
12/2/2019,121.6,113.0
12/3/2019,122.0,112.4
12/4/2019,121.0,112.9
12/5/2019,120.1,113.1
12/6/2019,121.2,114.0
12/9/2019,121.1,113.9
12/10/2019,120.6,113.7
12/11/2019,120.8,114.1
12/12/2019,120.2,114.9
12/13/2019,121.7,115.5
12/16/2019,122.4,116.3
12/17/2019,122.8,116.5
12/18/2019,121.4,116.4
12/19/2019,121.5,116.7
12/20/2019,122.3,117.1
12/23/2019,121.9,117.2
12/24/2019,122.4,117.3
12/26/2019,122.8,117.7
12/27/2019,122.6,118.0
12/30/2019,120.4,117.5
12/31/2019,119.2,117.7
1/2/2020,120.8,118.6
1/3/2020,122.1,118.0
1/6/2020,122.3,117.9
1/7/2020,122.9,117.9
1/8/2020,122.9,118.0
1/9/2020,123.7,118.8
1/10/2020,124.2,118.8
1/13/2020,124.6,119.4
1/14/2020,125.6,119.4
1/15/2020,126.6,119.5
1/16/2020,127.7,120.2
1/17/2020,128.4,120.6
1/21/2020,128.9,120.1
1/22/2020,129.1,120.2
1/23/2020,129.5,119.9
1/24/2020,129.7,119.4
1/27/2020,129.0,117.5
1/28/2020,129.1,118.2
1/29/2020,129.6,118.2
1/30/2020,129.4,117.8
1/31/2020,127.7,116.4
2/3/2020,127.8,116.7
2/4/2020,129.1,118.5
2/5/2020,129.9,119.5
2/6/2020,131.0,120.2
2/7/2020,130.9,119.5
2/10/2020,131.9,119.8
2/11/2020,132.2,120.3
2/12/2020,133.0,121.1
2/13/2020,132.8,120.8
2/14/2020,133.6,120.9
2/18/2020,133.7,120.4
2/19/2020,135.6,120.9
2/20/2020,136.6,120.3
2/21/2020,135.4,119.4
2/24/2020,131.7,115.9
2/25/2020,128.2,113.2
2/26/2020,126.8,112.6
2/27/2020,123.5,108.9
2/28/2020,121.2,107.0
3/2/2020,123.0,110.3
3/3/2020,122.4,109.0
3/4/2020,124.4,111.9
3/5/2020,123.4,109.7
3/6/2020,121.9,107.5
3/9/2020,116.1,99.9
3/10/2020,117.7,102.6
3/11/2020,116.0,98.9
3/12/2020,112.7,89.5
3/13/2020,114.1,94.2
3/16/2020,111.3,85.6
3/17/2020,111.7,88.6
3/18/2020,109.5,84.1
3/19/2020,110.5,84.4
3/20/2020,111.4,83.0
3/23/2020,111.9,80.2
3/24/2020,113.0,87.0
3/25/2020,112.8,89.3
3/26/2020,113.3,93.5
3/27/2020,112.8,91.2
3/30/2020,113.8,93.1
3/31/2020,113.0,92.5
4/1/2020,113.4,89.1
4/2/2020,113.7,90.2
4/3/2020,113.9,89.0
4/6/2020,114.0,93.9
4/7/2020,112.7,94.8
4/8/2020,112.8,96.7
4/9/2020,113.2,98.3
4/13/2020,112.8,97.6
4/14/2020,113.1,100.0
4/15/2020,114.2,97.8
4/16/2020,114.5,98.0
4/17/2020,114.2,100.5
4/20/2020,114.2,99.5
4/21/2020,114.6,96.5
4/22/2020,114.3,98.2
4/23/2020,114.3,98.5
4/24/2020,114.6,99.0
4/27/2020,113.8,100.7
4/28/2020,113.9,100.8
4/29/2020,113.8,103.2
4/30/2020,114.3,102.5
5/1/2020,114.1,100.2
5/4/2020,114.4,99.6
5/5/2020,114.8,100.6
5/6/2020,114.4,100.1
5/7/2020,114.9,101.0
5/8/2020,114.5,102.7
5/11/2020,114.2,102.7
5/12/2020,114.3,101.5
5/13/2020,115.0,99.9
5/14/2020,115.3,99.9
5/15/2020,115.2,100.3
5/18/2020,113.4,103.1
5/19/2020,113.0,103.0
5/20/2020,113.4,104.4
5/21/2020,114.0,103.6
5/22/2020,114.7,103.2
5/26/2020,112.4,105.4
5/27/2020,112.9,106.4
5/28/2020,112.1,106.8
5/29/2020,113.0,106.9
6/1/2020,111.3,107.9
6/2/2020,110.8,109.1
6/3/2020,108.9,111.0
6/4/2020,107.6,110.8
6/5/2020,106.7,113.1
6/8/2020,107.2,114.1
6/9/2020,107.7,113.6
6/10/2020,109.0,113.3
6/11/2020,110.1,108.1
6/12/2020,110.0,108.5
6/15/2020,110.1,108.5
6/16/2020,110.3,110.9
6/17/2020,110.7,110.9
6/18/2020,110.7,110.9
6/19/2020,110.3,110.7
6/22/2020,111.1,111.0
6/23/2020,111.1,112.0
