Date,RFXIX,Bloomberg MBS Index,Barclays U.S. AGG,S&P 500 TR Index
2/1/2009,10000.00,10000.00,10000.00,10000.00
2/28/2009,9859.11,10057.62,9962.26,8935.22
3/31/2009,9732.08,10200.20,10100.74,9717.93
4/30/2009,10234.00,10229.21,10149.04,10648.02
5/31/2009,10779.25,10259.12,10222.65,11243.58
6/30/2009,11463.91,10271.95,10280.79,11265.91
7/31/2009,12074.78,10356.00,10446.62,12117.98
8/31/2009,12630.93,10425.16,10554.79,12555.49
9/30/2009,13183.11,10508.96,10665.66,13024.03
10/31/2009,13969.79,10584.05,10718.32,12782.09
11/30/2009,13846.48,10719.80,10857.09,13548.79
12/31/2009,14702.98,10568.90,10687.38,13810.49
1/31/2010,15369.32,10709.10,10850.64,13313.69
2/28/2010,15493.62,10728.11,10891.16,13726.09
3/31/2010,15694.69,10731.66,10877.77,14554.42
4/30/2010,16612.36,10796.31,10991.00,14784.18
5/31/2010,15743.72,10917.23,11083.49,13603.66
6/30/2010,16401.88,11039.76,11257.29,12891.52
7/31/2010,16700.26,11134.45,11377.40,13794.71
8/31/2010,17346.79,11151.53,11523.79,13172.02
9/30/2010,17748.67,11109.06,11536.08,14347.51
10/31/2010,17738.27,11217.86,11577.15,14893.46
11/30/2010,18240.93,11197.68,11510.61,14895.34
12/31/2010,18634.39,11136.13,11386.49,15890.82
1/31/2011,19803.64,11141.86,11399.74,16267.45
2/28/2011,19692.71,11169.84,11428.25,16824.75
3/31/2011,19718.46,11200.97,11434.57,16831.44
4/30/2011,19808.34,11323.89,11579.72,17329.90
5/31/2011,19719.20,11445.52,11730.83,17133.73
6/30/2011,19445.83,11456.22,11696.49,16848.13
7/31/2011,19593.41,11562.71,11882.09,16505.55
8/31/2011,19184.35,11706.71,12055.69,15608.90
9/30/2011,18818.37,11726.69,12143.39,14511.65
10/31/2011,18458.83,11726.37,12156.43,16097.66
11/30/2011,18362.02,11747.70,12145.89,16062.11
12/31/2011,19320.29,11830.08,12279.38,16226.41
1/31/2012,19720.19,11878.29,12387.20,16953.57
2/29/2012,20098.06,11889.25,12384.36,17686.68
3/31/2012,20806.98,11896.98,12316.50,18268.71
4/30/2012,20807.23,11974.14,12453.04,18154.09
5/31/2012,20884.73,12012.04,12565.72,17063.01
6/30/2012,21055.84,12025.96,12570.65,17766.04
7/31/2012,22013.87,12122.59,12744.04,18012.79
8/31/2012,22233.01,12136.25,12752.36,18418.50
9/30/2012,23212.33,12161.45,12769.92,18894.48
10/31/2012,23455.24,12141.08,12795.03,18545.60
11/30/2012,24135.94,12120.20,12815.23,18653.15
12/31/2012,25521.85,12136.77,12796.98,18823.16
1/31/2013,27756.84,12076.05,12707.47,19798.12
2/28/2013,28436.80,12116.98,12771.17,20066.89
3/31/2013,28727.25,12131.09,12781.37,20819.46
4/30/2013,29152.66,12195.62,12910.70,21220.58
