Date,ROMO: NAV,ROMO: Market Price,S&P Tarket Risk Growth Index
11/1/2019,10000.00,10000.00,10000.00
11/30/2019,10143.00,10175.00,10078.89
12/31/2019,10461.49,10478.22,10292.38
1/31/2020,10445.80,10454.12,10259.81
2/29/2020,9581.93,9670.06,9826.00
3/31/2020,8426.35,8422.62,8925.03
4/30/2020,8618.47,8630.66,9494.21
5/31/2020,8666.73,8666.91,9831.24
6/30/2020,8567.07,8590.64,10035.59
7/31/2020,8879.03,8878.42,10397.90
8/31/2020,9342.98,9366.74,10748.91
9/30/2020,9015.02,9039.06,10550.71
10/31/2020,8775.22,8811.28,10395.62
11/30/2020,9658.88,9674.78,11168.01
12/31/2020,10108.02,10115.95,11509.75
