Outer Label,Outer Value,Category,Category Label,Category Sums,ID
Total Bond Market,34.40,US Fixed Income,U.S. Fixed Income,77.53,1
Mortgage Backed Securities,2.58,US Fixed Income,U.S. Equity,18.61,2
Actively Managed,8.19,US Fixed Income,U.S. Blend,1.54,3
High Yield Corporate,8.33,US Fixed Income,U.S. Alternative,2.32,4
IG Corporate,5.40,US Fixed Income,,,5
Preferreds,6.16,US Fixed Income,,,6
Taxable Muni,3.28,US Fixed Income,,,7
Large-Cap Equities,15.36,US Equity,,,8
Utilities,0.47,US Equity,,,9
REIT,1.46,US Equity,,,10
Dividend,1.54,US Equity,,,11
90% Equity / 60% Bonds,0.86,US Blend,,,12
Covered Call,8.35,US Alternative,,,13
MLP,3.63,US Alternative,,,14
