Date,Nasdaq 7HANDL Index ,Bloomberg Barclay U.S. Agg. Index 
3/12/2009,10000.00,10000.00
3/13/2009,9985.52,10000.00
3/16/2009,9986.30,9986.31
3/17/2009,10053.43,9971.71
3/18/2009,10132.31,10104.80
3/19/2009,10109.31,10093.40
3/20/2009,9990.46,10084.37
3/23/2009,10260.29,10082.15
3/24/2009,10243.30,10094.52
3/25/2009,10308.14,10072.35
3/26/2009,10379.48,10093.27
3/27/2009,10317.19,10093.61
3/30/2009,10223.88,10105.36
3/31/2009,10417.06,10117.31
4/1/2009,10427.34,10129.33
4/2/2009,10474.64,10113.84
4/3/2009,10647.77,10075.82
4/6/2009,10567.72,10076.93
4/7/2009,10510.45,10093.13
4/8/2009,10632.78,10119.81
4/9/2009,10737.59,10105.15
4/13/2009,10719.83,10146.71
4/14/2009,10719.08,10175.76
4/15/2009,10823.12,10190.00
4/16/2009,10934.16,10175.62
4/17/2009,10990.41,10144.35
4/20/2009,10796.61,10178.54
4/21/2009,10805.86,10159.98
4/22/2009,10836.11,10143.58
4/23/2009,10937.62,10160.68
4/24/2009,11019.61,10151.30
4/27/2009,10960.85,10183.75
4/28/2009,10976.59,10163.18
4/29/2009,11091.07,10149.35
4/30/2009,11092.06,10165.68
5/1/2009,11036.55,10152.82
5/4/2009,11136.51,10166.17
5/5/2009,11153.24,10178.47
5/6/2009,11244.44,10192.92
5/7/2009,11203.69,10169.99
5/8/2009,11317.87,10179.02
5/11/2009,11279.36,10222.95
5/12/2009,11306.07,10229.97
5/13/2009,11305.55,10252.07
5/14/2009,11295.28,10247.83
5/15/2009,11313.49,10252.48
5/18/2009,11394.66,10230.24
5/19/2009,11464.83,10244.56
5/20/2009,11434.32,10280.49
5/21/2009,11416.55,10238.79
5/22/2009,11415.02,10218.08
5/26/2009,11454.20,10201.05
5/27/2009,11353.52,10140.80
5/28/2009,11415.68,10142.75
5/29/2009,11487.82,10239.42
6/1/2009,11619.64,10168.39
6/2/2009,11633.08,10203.77
6/3/2009,11622.31,10237.68
6/4/2009,11580.32,10183.82
6/5/2009,11555.06,10108.07
6/8/2009,11607.21,10082.91
6/9/2009,11569.47,10110.29
6/10/2009,11600.39,10085.34
6/11/2009,11599.85,10116.13
6/12/2009,11636.75,10151.23
6/15/2009,11620.24,10188.20
6/16/2009,11574.02,10210.23
6/17/2009,11515.08,10235.66
6/18/2009,11480.61,10158.45
6/19/2009,11493.30,10188.06
6/22/2009,11462.07,10229.06
6/23/2009,11455.80,10243.24
6/24/2009,11516.65,10230.66
6/25/2009,11595.96,10284.31
6/26/2009,11566.73,10296.47
6/29/2009,11585.90,10300.78
6/30/2009,11604.82,10297.66
7/1/2009,11598.30,10301.55
7/2/2009,11566.83,10328.37
7/6/2009,11480.23,10332.27
7/7/2009,11440.79,10348.32
7/8/2009,11480.91,10406.28
7/9/2009,11598.60,10367.36
7/10/2009,11606.79,10418.72
7/13/2009,11650.14,10416.08
7/14/2009,11649.60,10380.22
7/15/2009,11709.65,10330.18
7/16/2009,11692.90,10354.02
7/17/2009,11676.15,10334.42
7/20/2009,11690.82,10371.95
7/21/2009,11779.03,10422.13
7/22/2009,11756.30,10400.37
7/23/2009,11807.35,10346.65
7/24/2009,11880.34,10367.01
7/27/2009,11890.51,10358.88
7/28/2009,11945.54,10371.81
7/29/2009,12008.54,10378.48
7/30/2009,12062.82,10397.18
7/31/2009,12184.88,10463.75
8/3/2009,12246.86,10424.28
8/4/2009,12227.85,10415.73
8/5/2009,12257.19,10389.67
8/6/2009,12231.20,10402.18
8/7/2009,12255.05,10366.32
8/10/2009,12262.95,10412.40
8/11/2009,12257.65,10438.87
8/12/2009,12281.75,10434.63
8/13/2009,12281.18,10476.82
8/14/2009,12290.82,10493.92
8/17/2009,12187.37,10508.51
8/18/2009,12205.74,10488.36
8/19/2009,12212.64,10505.52
8/20/2009,12216.31,10522.20
8/21/2009,12289.96,10479.60
8/24/2009,12282.66,10513.37
8/25/2009,12325.92,10532.42
8/26/2009,12375.15,10539.16
8/27/2009,12335.73,10532.90
