Date,Newfound/ReSolve Robust Equity Momentum TR Index,60/40 MSCI ACWI/Barclay Agg. Bond Index
12/27/1993,10000.00,10000.00
12/28/1993,10045.91,10032.10
12/29/1993,10029.56,10029.10
12/30/1993,10002.55,9984.44
12/31/1993,10012.88,10004.09
1/3/1994,10028.55,9997.68
1/4/1994,10067.33,10013.71
1/5/1994,10118.57,10034.72
1/6/1994,10068.43,10039.20
1/7/1994,10091.21,10111.08
1/10/1994,10149.55,10164.15
1/11/1994,10110.09,10133.21
1/12/1994,10067.08,10123.68
1/13/1994,9981.39,10054.98
1/14/1994,10103.73,10134.23
1/17/1994,10115.84,10126.24
1/18/1994,10149.28,10147.21
1/19/1994,10232.49,10199.06
1/20/1994,10225.03,10216.34
1/21/1994,10228.24,10226.29
1/24/1994,10155.02,10134.86
1/25/1994,10165.34,10141.64
1/26/1994,10212.99,10196.50
1/27/1994,10276.63,10241.61
1/28/1994,10350.93,10280.98
1/31/1994,10567.41,10443.12
2/1/1994,10620.37,10470.97
2/2/1994,10618.24,10461.17
2/3/1994,10598.33,10427.84
2/4/1994,10528.67,10351.55
2/7/1994,10355.95,10253.24
2/8/1994,10376.92,10274.00
2/9/1994,10369.46,10269.06
2/10/1994,10346.01,10245.36
2/11/1994,10335.00,10243.38
2/14/1994,10366.64,10264.15
2/15/1994,10373.39,10283.92
2/16/1994,10374.82,10289.84
2/17/1994,10392.23,10259.65
2/18/1994,10351.03,10225.68
2/22/1994,10290.28,10221.39
2/23/1994,10332.56,10219.25
2/24/1994,10252.28,10169.18
2/25/1994,10280.36,10195.78
2/28/1994,10354.61,10275.05
3/1/1994,10316.96,10227.19
3/2/1994,10170.98,10164.34
3/3/1994,10131.56,10142.66
3/4/1994,10184.50,10144.05
3/7/1994,10244.54,10176.21
3/8/1994,10249.52,10178.52
3/9/1994,10194.12,10141.24
3/10/1994,10232.84,10139.58
3/11/1994,10236.05,10144.48
3/14/1994,10301.40,10177.85
3/15/1994,10274.42,10183.73
3/16/1994,10293.60,10217.82
3/17/1994,10284.38,10235.49
3/18/1994,10170.41,10167.09
3/21/1994,10081.31,10111.22
3/22/1994,10100.49,10123.94
3/23/1994,10103.70,10126.61
3/24/1994,10051.89,10058.47
3/25/1994,10087.05,10049.62
3/28/1994,10106.23,10054.54
3/29/1994,10107.67,9988.05
3/30/1994,10022.13,9916.19
3/31/1994,9973.88,9909.02
4/4/1994,9890.13,9770.74
4/5/1994,9944.81,9873.92
4/6/1994,9971.09,9904.11
4/7/1994,10034.64,9943.40
4/8/1994,10021.88,9921.86
4/11/1994,10136.88,9984.91
4/12/1994,10152.51,9979.99
4/13/1994,10161.03,9969.25
4/14/1994,10150.05,9960.41
4/15/1994,10183.41,9982.03
4/18/1994,10190.17,9925.60
4/19/1994,10141.92,9918.75
4/20/1994,10054.66,9894.06
4/21/1994,10036.58,9941.87
4/22/1994,10093.00,9965.48
4/25/1994,10092.66,9997.85
4/26/1994,10147.31,10017.49
4/28/1994,10219.69,10015.75
4/29/1994,10253.04,10049.84
5/2/1994,10227.87,10040.17
5/3/1994,10206.24,10033.34
5/4/1994,10085.30,9973.81
5/5/1994,10056.58,9972.63
5/6/1994,10097.03,9937.10
5/9/1994,10039.95,9866.76
5/10/1994,10060.89,9909.73
5/11/1994,10101.33,9879.50
5/12/1994,10113.40,9918.47
5/13/1994,10164.48,9938.11
5/16/1994,10178.32,9951.69
5/17/1994,10183.29,9985.73
5/18/1994,10269.82,10078.92
5/19/1994,10255.29,10094.45
5/20/1994,10279.76,10097.51
5/23/1994,10256.37,10055.35
5/24/1994,10227.66,10055.56
5/25/1994,10156.42,10039.96
5/26/1994,10157.85,10038.99
5/27/1994,10162.82,10046.79
5/31/1994,10192.61,10056.49
6/1/1994,10192.27,10073.21
6/2/1994,10151.16,10069.19
6/3/1994,10120.69,10074.12
6/6/1994,10134.53,10084.47
6/7/1994,10155.45,10085.76
6/8/1994,10234.85,10125.04
6/9/1994,10252.22,10127.98
6/10/1994,10260.74,10121.29
6/13/1994,10281.65,10131.97
6/14/1994,10274.22,10164.25
6/15/1994,10252.61,10126.15
6/16/1994,10179.63,10105.66
6/17/1994,10172.20,10077.43
6/20/1994,10141.74,10047.14
6/21/1994,10098.88,9990.32
6/22/1994,10126.88,10019.74
6/23/1994,10170.82,10040.33
6/24/1994,10053.58,9959.18
6/27/1994,10079.80,9981.75
6/28/1994,10123.74,10002.32
6/29/1994,10217.27,10046.34
6/30/1994,10181.51,10030.68
7/1/1994,10138.66,10014.05
7/5/1994,10255.20,10058.12
7/6/1994,10274.33,10055.19
7/7/1994,10222.63,10057.25
7/8/1994,10243.54,10027.92
7/11/1994,10351.20,10077.63
7/12/1994,10403.97,10090.26
7/13/1994,10389.46,10087.35
7/14/1994,10458.16,10164.67
7/15/1994,10486.13,10185.07
7/18/1994,10501.71,10194.77
7/19/1994,10460.64,10199.08
7/20/1994,10485.07,10166.74
7/21/1994,10461.71,10146.34
7/22/1994,10374.62,10126.89
7/25/1994,10381.35,10122.99
7/26/1994,10398.70,10135.66
7/27/1994,10400.12,10111.12
7/28/1994,10376.76,10120.09
7/29/1994,10367.56,10203.19
8/1/1994,10471.63,10255.03
8/2/1994,10549.14,10279.40
8/3/1994,10562.94,10284.27
8/4/1994,10592.67,10269.67
8/5/1994,10567.54,10217.88
8/8/1994,10560.10,10217.88
8/9/1994,10504.90,10206.95
8/10/1994,10536.39,10194.33
8/11/1994,10498.88,10219.59
8/12/1994,10519.76,10204.37
8/15/1994,10515.86,10218.73
8/16/1994,10526.12,10232.72
8/17/1994,10582.38,10268.74
8/18/1994,10638.63,10271.57
8/19/1994,10657.73,10290.94
8/22/1994,10659.14,10274.12
8/23/1994,10619.87,10281.28
8/24/1994,10647.81,10285.33
8/25/1994,10640.37,10315.25
8/26/1994,10636.48,10292.08
8/29/1994,10611.36,10310.45
8/30/1994,10665.83,10330.00
8/31/1994,10670.77,10382.05
9/1/1994,10666.87,10377.06
9/2/1994,10705.42,10365.45
9/6/1994,10680.30,10344.77
9/7/1994,10626.89,10332.98
9/8/1994,10601.78,10307.10
9/9/1994,10596.12,10264.87
9/12/1994,10569.24,10249.39
9/13/1994,10574.19,10229.06
9/14/1994,10540.24,10254.58
9/15/1994,10557.56,10263.43
9/16/1994,10555.44,10251.34
