Date,Solactive Gold-Backed Bond Index,Bloomberg Barclays US Corporate TR
1/3/2006,10000.00,10000.00
1/4/2006,10075.07,10010.86
1/5/2006,9928.17,10012.49
1/6/2006,10166.98,9999.54
1/9/2006,10347.54,10004.62
1/10/2006,10223.84,9978.66
1/11/2006,10294.43,9961.10
1/12/2006,10306.86,9991.80
1/13/2006,10489.90,10026.02
1/17/2006,10450.18,10038.25
1/18/2006,10265.48,10033.76
1/19/2006,10516.54,10018.08
1/20/2006,10438.01,10030.18
1/23/2006,10526.11,10037.14
1/24/2006,10500.85,10021.92
1/25/2006,10539.73,9977.75
1/26/2006,10474.26,9955.18
1/27/2006,10449.65,9968.32
1/30/2006,10574.50,9957.91
1/31/2006,10674.34,9966.17
2/1/2006,10619.30,9948.74
2/2/2006,10681.79,9953.36
2/3/2006,10614.94,9973.07
2/6/2006,10655.29,9975.21
2/7/2006,10276.98,9959.67
2/8/2006,10249.08,9945.16
2/9/2006,10537.90,9960.71
2/10/2006,10232.46,9941.45
2/13/2006,10027.82,9944.97
2/14/2006,10133.79,9934.17
2/15/2006,10035.46,9945.94
2/16/2006,10161.00,9954.79
2/17/2006,10302.28,9987.38
2/21/2006,10329.43,9982.24
2/22/2006,10359.02,10003.90
2/23/2006,10233.17,9987.64
2/24/2006,10420.41,9988.03
2/27/2006,10338.21,9980.35
2/28/2006,10496.17,10011.19
3/1/2006,10517.80,9986.99
3/2/2006,10565.33,9960.32
3/3/2006,10494.42,9936.38
3/6/2006,10251.81,9908.93
3/7/2006,10215.44,9909.25
3/8/2006,10020.91,9910.55
3/9/2006,10079.26,9915.04
3/10/2006,9951.24,9904.18
3/13/2006,10070.57,9898.45
3/14/2006,10220.66,9942.75
3/15/2006,10221.75,9926.69
3/16/2006,10297.65,9973.98
3/17/2006,10273.44,9961.42
3/20/2006,10312.62,9976.52
3/21/2006,10219.55,9942.75
3/22/2006,10198.81,9949.06
3/23/2006,10163.12,9931.17
3/24/2006,10384.83,9965.59
3/27/2006,10495.64,9954.01
3/28/2006,10440.20,9912.89
3/29/2006,10545.60,9892.40
3/30/2006,10760.88,9868.14
3/31/2006,10668.80,9870.09
4/3/2006,10800.47,9865.28
4/4/2006,10736.27,9870.16
4/5/2006,10787.64,9888.76
4/6/2006,10887.47,9860.59
4/7/2006,10717.69,9824.16
4/10/2006,10896.66,9829.24
4/11/2006,10873.27,9847.71
4/12/2006,10877.03,9825.20
4/13/2006,10814.78,9793.20
4/17/2006,11194.01,9820.00
4/18/2006,11292.85,9840.75
4/19/2006,11493.29,9817.20
4/20/2006,11257.53,9816.29
4/21/2006,11504.70,9831.84
4/24/2006,11314.56,9854.80
4/25/2006,11449.47,9812.97
4/26/2006,11581.47,9797.95
4/27/2006,11504.60,9814.08
4/28/2006,11849.12,9835.55
5/1/2006,11902.74,9806.79
5/2/2006,12062.31,9821.17
5/3/2006,12062.93,9805.82
5/4/2006,12200.63,9805.62
5/5/2006,12379.05,9827.35
5/8/2006,12300.34,9830.28
5/9/2006,12683.69,9826.64
